Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006396~RNA processing	153	4.167801688913102	2.0141873455513327E-15	SNORA6, SNORA40, SNORD45B, SNORA4, SNORD45A, SNORD45C, SNORD73A, SNORA8, SNORD105B, SNORD1B, SCARNA2, SNORD19, SNORD17, SNORD16, SNORA38, SNORD12, SNORA73B, SNORD10, SNORD95, SNORA32, SNORA1, CCNL1, SNORA33, SNORA31, SNORD58B, SNORD58A, SNORD58C, TRIM39-RPP21, SNORD105, SNORD18B, SNORD18A, SNORD18C, SNORD100, SNORD102, SNORA29, SNORD101, SNORA27, SNORA28, SNORA25, SNORA26, SNORA74A, SNORD86, SNORD84, SNORA21, SNORA22, SNORD82, SNORD35A, SNORA62, SNORD35B, SNORA36A, DHX8, SNORD117, TMTC1, TRMT2A, SNORD111B, SNORD19B, SNORD59A, SNORA5B, SNORA5C, SNORA5A, SNORD110, SNORD37, SNORD112, SNORD33, SNORD34, SNORA57, SNORA52, SNORD36B, SNHG1, SNORD36A, SNORA51, SNORD12B, SNORD6, SNORD88A, SNORD7, SNORD36C, SNORD88C, SNORD12C, SNORD88B, SNHG7, CHERP, SCARNA4, SNORD126, SNORD24, SNORA48, MPHOSPH10, SNORD20, SNORD21, GRSF1, SNORD5, SNORD2, SNORA41, SNORA80B, SNORA14A, SNORA14B, DUSP11, SART3, SNORA7A, SNORD57, SNORD55, SNORD56, SNORD51, SNORD52, SNORA75, SNORD14B, SNORA72, SNORD14A, SNORD14D, SNORA70, SNORD14C, SNORD42B, SNORD4B, SNORD4A, SNORD38B, SNORD38A, SNORA70E, SNORD48, SNORD46, SNORA69, SNORA67, SNORA68, SNORD43, SNORA65, SNORA66, SNORA63, SNORA64, TRUB2, SNORD15B, SCARNA12, SNORD15A, EXOSC6, SNORA18, EXOSC9, SNORA15, DROSHA, SNORD78, SNORA10, SNORA71A, EXOSC2, SNORA71B, SNORA71C, SNORD72, SNORA71D, SSB, SNORD32A, SNORD68, SNORD69, SNORD66, SNORD83B, SNORD83A, SNORD64, SNORD60, SNORD61	2765	567	19333	1.8867418697436782	1.234212732015294E-11	1.2439621046125031E-11	1.2346968428229669E-11
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	70	1.9068373740125308	1.0634001985951604E-11	GSK3B, GSK3A, UBXN1, UBXN2B, UBXN2A, FAF1, UBE2D3, ZFAND2B, KIF14, FBXO22, PSMD7, KAT5, PSMD4, TRIM3, PSMD1, BTRC, EPM2A, FBXW5, UBE4B, KCTD2, RAD23A, KCTD5, RAD23B, TOPORS, RBX1, PSMA6, CDC34, TRAF4, PSMA1, TRIM13, PLAA, SPOPL, BIRC2, PSMD12, PSMD11, WDR26, FBXO45, FBXL22, PSMA7, PSMB10, AURKA, PSMB6, PSMB7, PSMB4, ZNRF2, PSMB2, PSMB3, PSMB1, PCBP2, SPOP, RFFL, KLHDC2, KLHDC3, UBE2H, UBE2B, SMURF1, FBXL17, WWP2, BFAR, KLHL20, CUL4A, UBE2W, PSMC5, UBXN11, PSMC3, GID8, ERCC8, CTNNB1, TRIP12, UBE2K	2765	212	19333	2.308693575352281	6.567588572981009E-8	3.2837798132618553E-8	3.259321608694167E-8
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	70	1.9068373740125308	6.990339976543395E-11	USP36, HIP1, CTNND1, PTEN, RASSF1, LAMP1, TMEM88, CHEK2, RUVBL1, FLOT1, FLOT2, MFSD1, SOX4, CCT3, USP7, COG7, CAMLG, DNAAF2, RPL23, PIH1D1, USP2, PRKCD, TTI1, WDR81, CDC37, RABL3, PFDN1, PFDN2, PFN1, PPIB, PFDN5, USP13, URI1, STXBP4, STXBP1, RPL11, CREBL2, STK4, SAV1, TBRG1, RAB21, NCLN, BAG2, BAG3, PDCD10, DVL1, FLNA, CCT8, CCT5, CCT4, WNT10B, CD74, UBE2B, CDKN2A, USP9X, SEC16A, PTGES3, HOXB-AS3, SYVN1, PARVA, IGF1, SMAD7, CCT6A, CDK7, TRIM39, DNAJA3, GNAQ, PIN1, NAA16, NAA15	2765	220	19333	2.224741081703107	4.3172340646879803E-7	1.4390779898377334E-7	1.428359468540367E-7
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	82	2.2337237809861072	1.8016125521331518E-10	USP36, USP37, UBE3C, UBE2D2, USP34, UBE2D3, RNF19B, UBE3A, FBXO22, CDC23, RNF19A, FBXO4, TRIM25, BTRC, GET4, USP47, USP7, USP48, USP6, USP5, USP42, USP4, USP3, USP2, USP45, UBE2E1, UBE4B, FBXO10, KCTD6, UCHL5, TOPORS, RBX1, PSMA6, CDC34, UBE2R2, PSMA1, WDR81, BIRC6, USP13, CUL9, PSMD11, USP10, KLHL15, USP11, USP12, UBR4, FBXO45, CBL, PSMA7, RNF213, RNF215, RNF217, UBQLN1, USP1, RFFL, USP24, UBE2H, UBE2I, NDFIP1, UBE2B, KLHL25, USP20, USP9X, UBE2C, SMURF1, USP21, USP22, RNF26, SYVN1, WWP2, BFAR, CHFR, CUL4A, UBE2S, KLHL8, TTC3, UBE2N, UBA1, TRIP12, UBE2K, FBXL4, BAP1	2765	281	19333	2.04038277142471	1.1126750713019717E-6	2.7816897804935863E-7	2.760971236144055E-7
GOTERM_BP_DIRECT	GO:0051301~cell division	102	2.7785344592754018	2.950223283312315E-10	CCNK, CCNF, PPP1CB, CDC20, PPP1CC, CCND3, CDC23, CCND1, CHEK2, POGZ, RUVBL1, KNTC1, OIP5, FBXO5, PELO, TIPIN, IST1, PRKCE, CDC40, CDC25A, CDC25B, CDC34, KATNAL1, CCNY, CCNE2, CDC37, CCNO, MAD1L1, TSG101, CDCA2, CDCA3, CDCA5, NCAPG, PDS5B, CUZD1, PMF1, NCAPH, DSN1, CCNB1, RAD21, TPR, TPPP, NEK9, UBE2I, UBE2C, BOD1, KLHL21, CDC7, TPX2, CDK7, KIF18B, CDK6, CDK5, UBE2S, CDK1, CDK13, GPSM2, USP37, NUMA1, NCAPG2, CCDC124, KIF14, WASL, KIF11, USP39, CDC73, TUBA1C, TUBA1B, CNTRL, SPDL1, DIS3L2, HELLS, DYNLT1, TUBB, HAUS4, PARD3B, CCNA2, KIFC1, BIRC6, KIF2C, CEP63, RALA, RALB, PMF1-BGLAP, GNAI3, AURKA, CDC42, PARD6B, FZR1, HAUS8, NUP43, MISP, CENPW, USP9X, CHFR, PPP1CA, CENPF, WEE1, PRC1, NCAPD2, PKN2, SPC25	2765	383	19333	1.862110774838408	1.822056311495679E-6	3.6441157995473713E-7	3.616973745340898E-7
GOTERM_BP_DIRECT	GO:0006281~DNA repair	79	2.152002179242713	2.3178429433294746E-8	RPAIN, MDC1, OGG1, UBE2D3, BCCIP, TTF2, PRPF19, POLB, PAGR1, ALKBH2, EME1, TRIM28, EXO1, RUVBL1, POGZ, FBXO6, POLL, TOPBP1, POLH, PARP3, RFC4, PARP2, USP3, USP45, ATRX, ACTL6A, DYRK1B, CHD1L, KIF22, UCHL5, RBX1, RAD51B, MSH2, POLG2, PSME4, ASF1A, INO80E, PAXIP1, PARPBP, USP10, PNKP, DOT1L, IGHMBP2, XPC, PDS5B, TFPT, FZR1, UBR5, HSF1, EP400, USP1, ASCC2, UBE2B, MCRS1, EYA3, XRCC2, XRCC3, FANCC, GTF2H1, GTF2H4, FANCG, TICRR, CDK9, CUL4A, RAD52, POLA1, UBE2W, CDK7, RAD50, UBE2T, NABP2, CDK1, NABP1, RAD17, MMS19, TRIP12, RAD9B, MNAT1, RAD9A	2765	294	19333	1.8788143828960155	1.4313973615154296E-4	2.3858330030004723E-5	2.3680628737682798E-5
GOTERM_BP_DIRECT	GO:0051726~regulation of cell cycle	83	2.260964314900572	9.699734120212964E-8	CDKN1A, CDKN1B, CCNF, PTEN, ILK, PKD1, PPP1R9B, RASSF1, KAT5, CCND1, RUVBL1, WDR5, WDR6, CCNL2, CCNL1, BTRC, PHACTR4, CDKL3, CDKL4, MAP2K1, DUSP1, RPL23, NANOS3, ACTL6A, UCHL5, PPM1A, TFDP1, CCNE2, TFDP2, TRNP1, MADD, SPIN2A, PRR11, BIRC2, INO80E, TSG101, UHRF2, PRCC, DOT1L, FBXL22, TBRG4, MBTD1, TBRG1, TFPT, GRK5, PCBP4, PLAGL1, EP400, CDKN2D, ZBTB17, DR1, ZFHX3, CDKN2C, CDKN2A, MCRS1, PLK1, DAB2IP, FBXL17, DHCR24, WDR12, PUM1, YY1AP1, FBXL12, CDK9, MLXIPL, FBXL8, BOP1, CDK7, ZZZ3, CDK6, YEATS2, CDK5, RHEB, UBA3, BAX, ID3, FBXL3, CDK12, CDK13, BAP1, CDK16, CDKN3, TP73	2765	324	19333	1.7911716116357468	5.988762100660461E-4	8.55793684663361E-5	8.494195736700781E-5
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	26	0.7082538817760828	2.165086433944145E-7	KHDRBS1, CDKN1A, PKMYT1, PPM1D, FBXL22, AURKA, CCNB1, PPME1, CHEK2, PLK3, WNT10B, CCDC57, PLK1, FBXL17, PBX1, CDC25A, FBXL12, CDC25B, CIT, CCNA2, FBXL8, WEE1, CCNY, CDK1, FBXL3, TAF2	2765	60	19333	3.0298854731766127	0.0013362639292769929	1.67144672700488E-4	1.6589974800097011E-4
GOTERM_BP_DIRECT	GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	23	0.6265322800326887	3.668390415531482E-7	FBXW5, FBXO38, CCNF, FBXL17, KIF14, FBXL18, FBXL16, NCCRP1, FBXL13, FBXO44, FBXO33, FBXL22, FBXL12, RBX1, CUL4A, FBXL8, FBXO4, FBXL3, FBXO6, BTRC, FBXL5, FBXL4, FBXO9	2765	50	19333	3.216339963833635	0.0022630338055884547	2.5173310229247145E-4	2.498581471911998E-4
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	51	1.3892672296377009	4.790664799508195E-7	LRSAM1, UBE3C, UBE2D2, UBE2D3, RNF19B, UBE3A, PRPF19, FBXO22, DDA1, UBE2Q1, RUSC1, RNF19A, TRIM3, FBXO4, TRIM27, BTRC, TRIM21, UBE2E1, UBE2E2, UBE4B, TOPORS, RBX1, CDC34, UBE2R2, BIRC2, CBFB, UBE2J2, CBL, TMEM129, UBR5, RNF217, SPOP, UBE2H, PPIL2, UBE2B, CDKN2A, UBE2C, SMURF1, FBXL17, WWP2, BFAR, CHFR, UBE2W, UBE2S, UBE2T, UBE2N, ERCC8, CTNNB1, TRIP12, UBE2K, DZIP3	2765	173	19333	2.061238227639047	0.0029543426042530907	2.9587145801762617E-4	2.9366775220985235E-4
