Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	91	2.436412315930388	5.1653793276148245E-12	YWHAE, MRE11, TES, HSP90AB1, YWHAB, ARHGAP1, HDLBP, ENO1, F11R, BZW1, PCMT1, LASP1, SLK, BAIAP2L1, ATIC, CAPZB, MPRIP, KIF5B, RACK1, TRIM25, LRRFIP1, SH3GL1, SCYL1, TMPO, UNC45A, DBNL, ANXA2, IST1, TMOD3, EPS15L1, RANGAP1, GAPVD1, YWHAZ, PLCB3, PKM, EEF1D, FSCN1, CHMP4B, PLIN3, RPL29, PFN1, ALDOA, CHMP5, PLEC, RAB1A, DDX6, PDXDC1, TACSTD2, SLC3A2, IQGAP1, ZC3HAV1, ADD1, CNN3, PDLIM1, CNN2, LDHA, KLC2, LARP1, BAG3, PRDX1, PCBP1, STK38, EIF4H, PACSIN2, RPS2, CCT8, EPS15, WASF2, PAK2, GCN1, SNX5, VASP, HSPA8, HSPA5, STAT1, RDX, RPL23A, EEF2, PRDX6, EHD1, RSL1D1, HNRNPK, VAPA, GIPC1, CAPZA1, ABI1, SERBP1, UBAP2, PKN2, EIF4G2, PICALM	2746	271	16792	2.0534020635180856	2.9541057378068558E-8	1.8388910752744047E-8	1.8237786639196402E-8
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	52	1.392235609103079	6.430813342452892E-12	RPL4, RPL5, SMG1, RPL3, RPL32, RPLP0, PPP2R2A, SMG7, RPL9, SMG6, RPS15, RPS14, RPS16, RPS19, RPS18, RPLP2, RPL38, RPS11, RPL39, RPS10, RPS13, UPF2, RPS9, RPS8, RPL13A, RPS3A, RPSA, ETF1, RPL26, PABPC1, RPL29, DCP2, RPL10, RPL11, RPL36A, GSPT1, RPS15A, RPS3, RPL13, RPS2, RPL18, RPL19, UPF3B, RPL23A, UPF3A, MAGOHB, RPL3L, RPS27, FAU, DCP1A, RPS21, RPL26L1	2746	119	16792	2.6721342579274974	3.6778063927656035E-8	1.8388910752744047E-8	1.8237786639196402E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	78	2.0883534136546187	1.6278396792140873E-11	ISY1, HNRNPU, WDR83, HNRNPR, DDX41, USP39, UBL5, PTBP1, SART3, RAVER1, SNRNP70, CLP1, SNRPD1, SNRNP35, ISY1-RAB43, AQR, BUD31, PRPF4B, PRPF40A, GTF2F1, CDC40, SRRM1, DDX39A, HNRNPUL1, SYF2, HNRNPH1, SRSF2, SNRPG, SNRNP27, CD2BP2, GEMIN7, DNAJC8, PABPC1, CACTIN, SRSF6, SNRPC, SNRNP200, SLU7, SF1, U2AF1L5, DDX5, SF3B3, CSTF2, U2AF1, SNU13, PRPF8, ZMAT2, U2AF2, TRA2B, PCBP1, TRA2A, PCBP2, POLR2H, HNRNPA1, SRSF10, SF3B1, POLR2J, SRSF11, POLR2L, HNRNPA0, SPEN, HSPA8, HNRNPA3, SF3A2, CPSF3, UPF3B, HNRNPL, NUDT21, LSM8, LSM7, HNRNPK, HNRNPF, HNRNPA2B1, HNRNPD, PRPF31, SNRNP48, BUD13, HNRNPC	2746	222	16792	2.1485403830633256	9.309629711573564E-8	3.103205041808455E-8	3.077702220167434E-8
GOTERM_BP_DIRECT	GO:0006413~translational initiation	56	1.499330655957162	2.2193000983565424E-11	RPL4, RPL5, RPL3, RPL32, RPLP0, RPL9, RPS15, RPS14, RPS16, RPS19, RPS18, RPLP2, EIF3CL, RPL38, EIF2B1, RPS11, RPL39, RPS10, RPS13, RPS9, EIF1AX, RPS8, RPL13A, RPS3A, RPSA, RPL26, PABPC1, RPL29, RPL10, RPL11, RPL36A, RPS15A, LARP1, EIF4H, RPS3, RPL13, RPS2, RPL18, EIF4E, EIF4B, PAIP1, RPL19, RPL23A, EIF2S2, RPL3L, RPS27, EIF3K, EIF6, EIF3J, EIF3G, FAU, EIF3C, RPS21, RPL26L1, EIF4G2, EIF3A	2746	137	16792	2.4995933035975355	1.2692190298757566E-7	3.173044315625266E-8	3.146967539469577E-8
GOTERM_BP_DIRECT	GO:0006412~translation	83	2.2222222222222223	1.7838556324512096E-10	RPL4, RPL5, RPL3, RPL32, RPLP0, MRPL36, MRPL34, RPL9, MRPL4, RPS15, RPS14, RPS16, RPS19, RPL36AL, RPS18, SLC25A40, RPLP2, RPL38, SLC25A43, RPS11, SLC25A45, RPL39, RPS10, SLC25A44, RPS13, METTL17, RPS9, RPL36A-HNRNPH2, RPS8, PABPC4, DHPS, MRPL49, RPL13A, RPS3A, RPSA, MRPS6, MRPL52, SLC25A15, SLC25A17, SLC25A19, NHP2, SLC25A10, RPL26, RPL29, SLC25A11, SLC25A6, RPL10, RPL11, RPL36A, IGHMBP2, MRPL17, RPS27L, SNU13, MRPL13, RPS15A, UCP2, RPS3, RPL13, RPS2, SLC25A23, RPL18, SLC25A22, SLC25A25, GCN1, RPL19, MRPL27, RPL23A, GTF2H2, GTF2H3, HARS2, MRPL21, RPL3L, SLC25A38, RSL1D1, SLC25A39, RPS27, TNIP1, SLC25A30, FAU, SLC25A33, RPS21, SLC25A36, RPL26L1	2746	253	16792	2.0061318079621384	1.0201863176462211E-6	2.0403740723976934E-7	2.0236058294526522E-7
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	42	1.1244979919678715	3.831302020348258E-10	RPL4, RPL5, RPL3, RPL32, RPL10, RPLP0, RPL11, SRP54, RPL36A, RPL9, RPS15, RPS14, SEC61A1, RPS15A, RPS16, SRP72, RPS19, RPS18, RPS3, RPLP2, RPL13, RPL38, RPS2, RPL18, RPS11, RPL39, RPS10, RPS13, RPL19, RPS9, RPS8, RPL13A, RPL23A, RPSA, RPS3A, RPL3L, RPS27, RPL26, FAU, RPL29, RPS21, RPL26L1	2746	94	16792	2.732268212177093	2.191119180761092E-6	3.6518693757286147E-7	3.6218575099025534E-7
GOTERM_BP_DIRECT	GO:0019083~viral transcription	45	1.2048192771084338	4.8303905631807646E-9	RPL4, RPL5, RPL3, RPL32, RPL10, RPLP0, RPL11, RPL36A, RPL9, NUP160, RPS15, RPS14, RPS15A, RPS16, RPS19, POM121C, RPS18, RPS3, RPLP2, RPL13, NUP43, RPL38, RPS2, RPL18, RPS11, RPL39, RPS10, RPS13, RPL19, RPS9, RPS8, RPL13A, RPL23A, RPSA, RPS3A, RPL3L, RPS27, NUP50, RPL26, FAU, RPL29, RPS21, NUP58, RPL26L1, NUP37	2746	112	16792	2.4569503693684323	2.7624621952382356E-5	3.946429090118685E-6	3.9139964677659E-6
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	33	0.8835341365461846	1.2030913004269078E-8	CIITA, CAMK2D, PTAFR, ICAM1, TRIM8, TRIM5, TRIM25, TRIM26, CAMK2G, B2M, TRIM22, HLA-DQA1, HLA-DPA1, HLA-DRB5, IFNGR1, STAT1, IFNGR2, HLA-B, HLA-C, HLA-A, HLA-E, IRF3, IRF4, IRF1, IRF2, IRF7, HLA-DPB1, IRF8, HLA-DRA, TRIM38, CD44, HLA-DRB1, HLA-DQB1	2746	71	16792	2.842218643250618	6.880242511475565E-5	8.600598933926857E-6	8.529917320026777E-6
GOTERM_BP_DIRECT	GO:0016032~viral process	86	2.3025435073627842	8.620709084183702E-8	YWHAE, CRTC2, MRE11, CRTC3, YWHAB, UBE3A, IPO7, XPO1, KAT5, SUMO1, C1QBP, RACK1, RCC1, MAP3K5, DAXX, SP110, FBXW7, DDX11, HLA-B, HLA-C, IL16, RAD23A, HLA-A, KCTD5, TNFRSF1A, DYNC1LI1, CREB1, PACS1, LCK, NUP50, VDAC1, TOP1, IL6ST, NUP58, ANKRD17, RTN3, SET, CUL5, SHC1, HDAC1, CUL2, IL2RG, PSMB10, NUP160, HSPD1, PSMB5, RNF216, POM121C, EIF4H, NUP43, HNRNPA1, RAB6A, WASF2, EIF4E, PAK2, BRD4, MICB, AP1M1, ATF7IP, LYN, SPEN, GADD45GIP1, FDPS, KDM4A, HSPA8, NPM1, SNAPIN, UBE2I, CBX5, SGTA, CFLAR, PILRA, COPS6, HNRNPK, ERCC3, PSMC3, SP1, CARM1, ABI1, MDM2, ACKR3, HLA-DRA, RCOR1, NUP37, TAF1, TP73	2746	299	16792	1.758851427555313	4.928968599434702E-4	5.477981694716288E-5	5.4329624361655504E-5
GOTERM_BP_DIRECT	GO:0006281~DNA repair	71	1.9009370816599733	1.6813724631022003E-7	MUS81, SMG1, MRE11, ANKLE1, NUDT1, BACH1, POLB, PAGR1, CHAF1A, EME1, PTTG1, SUMO1, POLI, FBXO6, TOPBP1, POLK, RBM14, SLX1B, DDX11, ACTR8, KIF22, UCHL5, DDB2, RRM2B, POLG2, RBM14-RBM4, SLX1A, FAN1, INO80B, PIF1, VCP, INO80E, PARPBP, DOT1L, IGHMBP2, ZBTB1, RPS27L, PDS5A, TFPT, FZR1, ASTE1, TDG, UBR5, RBBP8, RPS3, MUTYH, ZRANB3, NPM1, XRCC2, INTS3, XRCC3, FANCA, UBE2A, GTF2H3, GTF2H4, APTX, FANCG, HINFP, CDK9, TAOK3, ERCC3, ERCC1, POLE2, TAOK1, JMY, NABP2, CDK1, STUB1, ATM, RAD9B, RAD9A	2746	235	16792	1.8475337434721295	9.611148256944979E-4	9.615769116481483E-5	9.536744610715681E-5
