Enhancer	Target_gene
TE_237	CROCC
TE_1330	NBPF15
TE_1622	LOC100506023
TE_1622	PRDX6
SE_40	LINC00623
SE_40	LINC00869
SE_40	LOC100996720
TE_848	L1TD1
SE_18	TRNP1
SE_62	FLVCR1-DT
SE_62	SPATA45
SE_62	FLVCR1
TE_2309	COX20
TE_229	CLCNKB
SE_40	RNVU1-4
SE_16	DHDDS
SE_39	LINC00623
SE_39	LINC00869
SE_39	LOC100996720
TE_1379	LOC644634
TE_1986	FLVCR1-DT
TE_1986	SPATA45
TE_1986	FLVCR1
TE_7	HES4
TE_1421	SLC39A1
TE_1421	RPS27
TE_1421	MIR6737
TE_1421	CREB3L4
TE_1421	RAB13
TE_1421	JTB
TE_1421	CRTC2
SE_62	VASH2
SE_30	L1TD1
TE_582	NDUFS5
SE_48	LOC440570
SE_48	LINC01783
SE_48	MIR3675
TE_2340	ZNF496
TE_1373	MIR3675
SE_52	CRABP2
SE_1	SKI
SE_1	PRKCZ
TE_497	SYNC
SE_50	MIR4257
SE_50	ADAMTSL4-AS1
SE_50	ADAMTSL4
SE_18	TENT5B
TE_223	SLC25A34-AS1
TE_223	FBLIM1
TE_337	ENSA
SE_55	ANKRD45
SE_22	SYTL1
TE_851	L1TD1
TE_1377	LOC440570
TE_1377	LINC01783
TE_1377	MIR3675
TE_184	FBXO44
TE_184	FBXO6
TE_184	FBXO2
TE_1396	ENSA
TE_1373	LOC440570
TE_1373	LINC01783
TE_2186	SNORA100
TE_2186	HNRNPU
SE_27	SNORD55
SE_27	SNORD46
SE_27	SNORD38A
SE_27	SNORD38B
SE_27	BEST4
SE_27	RPS8
SE_62	ANGEL2
TE_1369	LINC00623
TE_1369	LINC00869
TE_1369	LOC100996720
SE_64	FLVCR1-DT
SE_64	SPATA45
SE_64	FLVCR1
SE_54	L1TD1
SE_54	PEAR1
SE_59	RBBP5
TE_159	TARDBP
SE_27	SYTL1
SE_54	PBX1
TE_243	NBPF3
TE_2231	TBCE
SE_58	SNRPE
TE_1383	RNVU1-4
TE_237	CPLANE2
TE_1370	MIR3675
SE_62	NSL1
SE_62	TATDN3
SE_30	SLC2A1-AS1
SE_30	SLC2A1
TE_1453	NES
SE_50	PRPF3
SE_19	ZDHHC18
TE_170	FBXO44
TE_170	FBXO6
TE_170	FBXO2
TE_1370	RNVU1-15
SE_27	RNF220
SE_20	GPR3
SE_20	CD164L2
SE_20	FCN3
TE_118	AGO1
TE_1371	LOC100996740
SE_48	MIR6077
SE_58	FLVCR1-DT
SE_58	SPATA45
SE_58	FLVCR1
TE_337	LDLRAD2
TE_1575	SNORA70H
TE_1575	RNPEP
TE_434	SMPDL3B
TE_1535	ASH1L-AS1
TE_1535	ASH1L
SE_1	PRKCZ-AS1
SE_1	FAAP20
TE_1495	B4GALT3
TE_1495	USP21
TE_1495	PPOX
TE_1495	UFC1
SE_1	CFAP74
SE_21	SYTL1
TE_2098	SRP9
TE_2186	BSDC1
TE_189	DHRS3
TE_2131	MIR34AHG
TE_2131	LNCTAM34A
SE_54	PHGDH
TE_2073	LOC100288069
TE_174	FBXO44
TE_174	FBXO6
TE_174	FBXO2
SE_11	ARHGEF19
TE_1825	PHLDA3
SE_25	SLC2A1-AS1
SE_25	SLC2A1
SE_11	SYT6
TE_1382	LOC644634
TE_236	CPLANE2
TE_1879	SOX13
TE_881	KAZN
SE_24	EPHA10
TE_626	CMPK1
SE_27	SNORA73A
SE_27	SNORA73B
SE_27	SNHG3
SE_27	RCC1
TE_1449	ISG20L2
TE_1449	HDGF
TE_1449	RRNAD1
TE_1449	MRPL24
TE_1581	RASAL2-AS1
TE_1581	RASAL2
TE_118	LPAR3
SE_22	FAM76A
SE_30	BSDC1
TE_1447	TMEM79
TE_1447	GLMP
TE_1447	SMG5
TE_1447	VHLL
TE_627	PTCH2
TE_18	GNB1
SE_19	ACTG1P20
SE_19	TMEM222
SE_8	RCC2
TE_1565	RABGAP1L
TE_1421	INTS3
TE_172	FBXO44
TE_172	FBXO6
TE_172	FBXO2
TE_1535	FNBP1L
TE_1325	MTF2
SE_32	ISG20L2
SE_32	HDGF
SE_32	RRNAD1
SE_32	MRPL24
TE_2075	CNIH3
TE_2075	WDR26
TE_1503	TPM3
TE_1503	MIR190B
TE_1421	CHTOP
TE_1421	S100A1
TE_1421	S100A13
TE_510	PTP4A2
TE_497	RNF19B
TE_1034	RNF187
SE_63	CENPF
SE_27	ERI3
SE_36	L1TD1
SE_63	SMYD2
SE_33	LINC01397
TE_1421	GATAD2B
SE_19	GPATCH3
SE_19	GPN2
TE_674	NSL1
TE_674	TATDN3
TE_1837	LGR6
TE_2186	SYF2
TE_2341	ZNF496
TE_503	TRIM62
TE_2118	FBXO44
TE_2118	FBXO6
TE_2118	FBXO2
SE_30	LINC01562
SE_30	RNF11
SE_64	PRKACB
TE_611	ZNF684
TE_116	RNF220
SE_19	FLVCR1-DT
SE_19	SPATA45
SE_19	FLVCR1
TE_1550	MIR554
