Enhancer	Target_gene
TE_5051	C11orf49
TE_5051	HNRNPUL2-BSCL2
TE_5051	TTC9C
TE_5051	HNRNPUL2
TE_5052	C11orf49
SE_135	LTBP3
SE_135	POLA2
SE_136	LTBP3
SE_153	GRAMD1B
SE_134	CDC42EP2
SE_135	LOC101927789
SE_136	KAT5
SE_136	RNASEH2C
SE_135	CDC42EP2
SE_135	FAM89B
SE_135	EHBP1L1
SE_135	ZNRD2
SE_135	ZNRD2-AS1
SE_135	CAPN1
SE_135	LOC728975
SE_136	SCYL1
SE_154	ST3GAL4
SE_154	GSEC
SE_135	DPF2
SE_136	POLA2
SE_135	WDR74
SE_135	STX5
SE_135	LOC105369332
SE_135	RNU2-1
SE_135	RCE1
SE_135	LRFN4
SE_135	SPTBN2
SE_136	FAM89B
SE_136	EHBP1L1
SE_136	ZNRD2
SE_136	ZNRD2-AS1
SE_135	RELA
SE_135	SLC25A45
SE_135	FRMD8
SE_135	GAL3ST3
SE_135	SNORD13F
SE_135	PACS1
SE_135	SF3B2
SE_136	RELA
SE_129	FNBP4
SE_136	CDC42EP2
SE_135	KLC2
SE_135	CNIH2
SE_135	YIF1A
SE_135	TMEM151A
SE_135	RAB1B
SE_138	SYT12
SE_135	FTH1
SE_135	INPPL1
SE_135	FOLR2
SE_135	PHOX2A
SE_136	LOC101927789
TE_5174	SPINDOC
SE_136	INPPL1
SE_136	FOLR2
SE_136	PHOX2A
SE_135	MIR3654
SE_135	AHNAK
SE_135	SCYL1
SE_135	KAT5
SE_135	RNASEH2C
SE_135	SLC29A2
SE_135	DDB2
SE_135	CD44
SE_135	LOC100507144
SE_135	ALDH3B1
SE_135	UNC93B1
SE_129	NUP160
SE_138	RCE1
SE_138	LRFN4
SE_136	WEE1
TE_5157	MIR3654
TE_5157	AHNAK
SE_135	MAP3K11
SE_135	PCNX3
SE_135	KDM2A
SE_135	LOC107984341
SE_135	TCIRG1
SE_135	NDUFS8
SE_135	MIR7113
SE_135	MIR4691
SE_135	MIR6753
SE_135	TKFC
SE_135	DDB1
TE_5052	PACSIN3
TE_5052	MIR6745
TE_5052	ARFGAP2
SE_135	EML3
SE_135	MTA2
SE_135	TUT1
SE_135	B3GAT3
SE_135	ROM1
SE_135	MUS81
SE_135	EFEMP2
SE_135	CFL1
SE_135	CTSW
SE_135	MIR6751
SE_135	SYVN1
SE_135	CAPRIN1
SE_135	MASCRNA
SE_135	TALAM1
TE_5171	RTN3
TE_5171	ATL3
SE_135	PC
SE_138	KDM2A
SE_138	LOC107984341
SE_135	CORO1B
SE_135	PTPRCAP
SE_135	RPS6KB2
SE_135	CABP4
SE_135	CARNS1
SE_135	GPR152
SE_132	FTH1
SE_135	C11orf80
SE_136	DPF2
SE_135	NAT10
SE_135	GUCY2EP
TE_5062	DDB2
SE_136	MASCRNA
SE_136	TALAM1
SE_136	TMEM9B
SE_136	TMEM9B-AS1
SE_135	LOC101928837
SE_135	TSKU
SE_135	MIR194-2HG
SE_135	MIR6750
SE_135	MIR6749
SE_135	EHD1
SE_135	MIR194-2
SE_135	MIR192
SE_135	MIR10392
SE_136	ME3
SE_135	TMEM262
SE_135	VPS51
SE_135	ARL2-SNX15
SE_135	MIR6879
SE_135	ARL2
SE_135	P2RX3
SE_135	TNKS1BP1
SE_135	SSRP1
TE_5155	LBHD1
TE_5155	C11orf98
TE_5155	SNORA57
TE_5155	UBXN1
TE_5155	CSKMT
TE_5155	UQCC3
TE_5205	LOC101927789
TE_5057	PSMC3
TE_5052	HNRNPUL2-BSCL2
TE_5052	TTC9C
TE_5052	HNRNPUL2
SE_135	RBM4
TE_4905	TCP11L1
SE_135	TMEM134
SE_135	SNORA70E
SE_135	RAB30
SE_135	EIF1AD
SE_135	CST6
SE_135	BANF1
TE_5235	C11orf86
TE_5066	PACSIN3
TE_5066	MIR6745
TE_5066	ARFGAP2
TE_5235	PC
TE_4575	SNORA3A
TE_4575	SNORA3B
TE_4575	RPL27A
SE_135	LINC00958
SE_135	TM7SF2
SE_135	MRPL49
SE_135	ZNHIT2
SE_135	FAU
TE_5862	FTH1
SE_135	UCP2
SE_136	PDHX
SE_136	APIP
TE_4505	PNPLA2
TE_4505	CD151
TE_4505	SLC25A22
TE_4505	PIDD1
TE_4505	LOC171391
TE_4505	SNORA52
TE_4505	CRACR2B
TE_4505	GATD1
TE_4505	RPLP2
TE_4505	CEND1
TE_4505	POLR2L
TE_4505	TSPAN4
TE_4505	PANO1
SE_135	ARAP1
SE_129	SNORD97
SE_129	LOC101928053
SE_129	EIF4G2
SE_135	RAB30-DT
TE_5155	HNRNPUL2-BSCL2
TE_5155	TTC9C
TE_5155	HNRNPUL2
SE_135	MIR1237
SE_135	RPS6KA4
TE_5219	FKBP2
TE_5219	PPP1R14B
TE_5219	DNAJC4
TE_5219	TRPT1
TE_5219	PLCB3
TE_5219	VEGFB
TE_5219	PPP1R14B-AS1
TE_5219	LOC114841035
TE_5219	NUDT22
SE_138	C11orf80
SE_135	MIR1260B
SE_135	MAML2
SE_135	POLD4
TE_5066	MTCH2
TE_5536	CTSC
TE_5068	C11orf49
SE_129	C11orf54
SE_129	SCARNA9
SE_129	TAF1D
SE_129	SNORA25
SE_129	SNORA32
SE_129	SNORD6
SE_129	SNORA1
SE_129	SNORA8
SE_129	SNORD5
SE_129	SNORA18
SE_129	MIR1304
SE_129	SNORA40
TE_4655	NUP160
TE_4908	TCP11L1
TE_4502	PNPLA2
TE_4502	CD151
TE_4502	SLC25A22
TE_4502	PIDD1
TE_4502	LOC171391
TE_4502	SNORA52
TE_4502	CRACR2B
TE_4502	GATD1
TE_4502	RPLP2
TE_4502	CEND1
TE_4502	POLR2L
TE_4502	TSPAN4
TE_4502	PANO1
SE_136	BIRC2
TE_5182	FKBP2
TE_5182	PPP1R14B
TE_5182	DNAJC4
TE_5182	TRPT1
TE_5182	PLCB3
TE_5182	VEGFB
TE_5182	PPP1R14B-AS1
TE_5182	LOC114841035
TE_5182	NUDT22
TE_5389	CD44
TE_5389	LOC100507144
SE_154	RNF169
TE_5162	LBHD1
TE_5162	C11orf98
TE_5162	SNORA57
TE_5162	UBXN1
TE_5162	CSKMT
TE_5162	UQCC3
SE_149	ALG9
SE_149	C11orf1
SE_149	FDXACB1
TE_4598	CARS1
TE_5088	RTN4RL2
SE_135	C11orf16
SE_135	ASCL3
SE_135	LOC101928069
SE_135	DPP3
SE_141	HNRNPUL2-BSCL2
SE_141	TTC9C
SE_141	HNRNPUL2
SE_129	SLC3A2
TE_5059	DDB2
SE_148	NAP1L4
TE_5068	MADD
TE_5068	NR1H3
TE_5068	ACP2
TE_5068	MADD-AS1
TE_5181	KCNK4
TE_5181	GPR137
TE_5181	PRDX5
TE_5181	BAD
TE_5181	ESRRA
TE_5181	TRMT112
TE_5181	KCNK4-TEX40
TE_5181	CATSPERZ
TE_4763	MIR3654
TE_4763	AHNAK
TE_5151	FTH1
SE_138	ILK
SE_138	RRP8
SE_138	TAF10
SE_138	TPP1
TE_4757	SNORA3A
TE_4757	SNORA3B
TE_4757	RPL27A
TE_4655	LGR4-AS1
TE_4655	LGR4
SE_136	MARK2
TE_5088	YPEL4
TE_5088	MIR130A
TE_5088	ZDHHC5
TE_5088	CLP1
SE_135	CCDC85B
SE_135	FOSL1
SE_135	FIBP
TE_5867	PPP6R3
TE_4784	RNF169
TE_5244	RAD9A
TE_5244	TBC1D10C
TE_5244	PPP1CA
SE_132	INCENP
TE_4659	TEAD1
TE_5066	SLC39A13
TE_5066	MIR4487
TE_4826	BDNF-AS
TE_4826	MIR8087
TE_4826	LIN7C
TE_5085	TEAD1
TE_4495	RNH1
SE_135	MEN1
SE_135	MAP4K2
TE_5867	ARHGEF12
TE_4961	FTH1
TE_5171	NAA40
SE_135	MRPL21
SE_135	IGHMBP2
TE_5412	ACER3
TE_4920	NAT10
TE_5145	FTH1
SE_150	BIRC2
TE_5219	RBM14-RBM4
TE_5219	RBM14
TE_4755	ZBED5-AS1
TE_4755	ZBED5
SE_150	ZNF195
SE_150	TSSC2
SE_150	OR7E12P
TE_4512	MUC5B-AS1
TE_4512	MIR6744
TE_5171	SPINDOC
SE_150	BIRC3
SE_135	PTDSS2
SE_135	ANO9
SE_135	NEU3
SE_153	RTN3
SE_153	ATL3
SE_135	KIF18A
SE_135	METTL15
SE_136	PTDSS2
SE_136	ANO9
TE_4908	CD59
SE_150	ATM
SE_150	NPAT
TE_5059	INPPL1
TE_5059	FOLR2
TE_5059	PHOX2A
SE_136	LDLRAD3
TE_5720	MADD
TE_5720	NR1H3
TE_5720	ACP2
TE_5720	MADD-AS1
TE_5587	BCO2
TE_5587	IL18
TE_5587	TEX12
TE_5265	MIR3654
TE_5265	AHNAK
TE_5065	PSMC3
TE_5867	RCE1
TE_5867	LRFN4
TE_4502	IRF7
TE_4502	CDHR5
SE_138	CORO1B
SE_138	PTPRCAP
SE_138	RPS6KB2
SE_138	CABP4
SE_138	CARNS1
SE_138	GPR152
SE_136	AAMDC
SE_136	RSF1
TE_5066	MADD
TE_5066	NR1H3
TE_5066	ACP2
TE_5066	MADD-AS1
SE_135	TRIM3
SE_135	ARFIP2
SE_135	TIMM10B
SE_135	FAM111B
SE_135	ZNF202
TE_5175	FKBP2
TE_5175	PPP1R14B
TE_5175	DNAJC4
TE_5175	TRPT1
TE_5175	PLCB3
TE_5175	VEGFB
TE_5175	PPP1R14B-AS1
TE_5175	LOC114841035
TE_5175	NUDT22
TE_5155	MIR611
TE_5155	TMEM258
TE_5155	FEN1
TE_5235	MIR3654
TE_5235	AHNAK
TE_5052	MED17
TE_4640	PACSIN3
TE_4640	MIR6745
TE_4640	ARFGAP2
