Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006413~translational initiation	47	1.8139714395986106	2.1567174089646368E-12	RPL4, RPL5, EIF4A1, RPL30, RPL12, RPL36A, EIF1AD, RPS15A, LARP1, RPS16, RPL18A, RPL36, EIF4H, RPS3, RPLP2, EIF3CL, RPL38, RPL15, EIF2B1, RPL18, RPS11, RPS10, EIF4B, ABCF1, RPL19, RPS9, RPL21, RPS7, EIF1AX, RPS6, RPL13A, RPL23A, RPSA, RPS25, RPS27, EIF2S3, EIF6, RPL27A, AGO2, EIF3G, RPL27, EIF3E, FAU, EIF3C, RPS21, RPS24, EIF4G2	1874	137	16792	3.0740443565035176	1.0132267025397823E-8	1.0132258387315864E-8	1.00934374739545E-8
GOTERM_BP_DIRECT	GO:0019083~viral transcription	40	1.5438054805094559	2.865075852862504E-11	RPL4, RPL5, RPL30, POM121, NUP188, RPL12, RPL36A, NUP160, RPS15A, RPS16, POM121C, RPL18A, RPL36, RPS3, RPLP2, RPL38, NUP88, RPL15, RPL18, RPS11, RPS10, RPL19, RANBP2, NDC1, RPS9, RPL21, NUP155, RPS7, RPS6, RPL13A, RPL23A, RPSA, RPS25, RPS27, RPL27A, RPL27, FAU, RPS21, RPS24, NUP37	1874	112	16792	3.2001829547187075	1.3460120706909606E-7	6.730063178374021E-8	6.704277495698259E-8
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	56	2.1613276727132384	1.8388140107588462E-9	RPL4, RPL5, RPL30, POP4, RRP8, RPS16, NOB1, RPL18A, RPL36, RPLP2, RPL38, RPS11, RPS10, WDR36, RPS9, RPL21, UTP11, RPS7, RPS6, DDX56, RPL13A, CSNK1D, RPSA, SENP3, DKC1, RPL27, RPP25, RPL12, RPL36A, NOLC1, DDX21, RPS27L, SNU13, NOL6, RRP7A, EXOSC6, EXOSC5, RPS15A, BMS1, RPS3, RPL15, RPL18, EXOSC2, MDN1, EXOSC1, RPL19, UTP6, CDKN2A, RPL23A, WDR12, RPS25, RPS27, RPL27A, FAU, RPS21, RPS24	1874	214	16792	2.3448069499995015	8.63871081890899E-6	2.879582740848353E-6	2.8685498567838E-6
GOTERM_BP_DIRECT	GO:0016032~viral process	70	2.7016595908915475	2.5343448076887274E-9	EIF4A1, CRTC2, CRTC3, NUP188, UBE3A, XPO1, KAT5, ZC3H7B, RACK1, RCC1, TNPO1, NDC1, USP7, DDX11, KRT8, KRT7, RAD23A, HLA-A, DYNLL1, KCTD5, RHOA, TNFRSF1A, MSH6, DDB1, CLDN6, PSMA3, PACS1, NFX1, LCK, CLDN9, TOP1, EPHA2, ANKRD17, RTN3, RALA, POM121, SF3B2, SET, SHC1, FBLN1, NUP160, HSPD1, POM121C, EIF4H, NUP88, RAB6A, PAK2, BRD4, MICB, RANBP2, ATF7IP, GADD45GIP1, FDPS, CENPU, KDM4A, NPM1, UBE2I, CBX5, NUP155, SGTA, STAT3, UCKL1, KRT18, PSMC3, SP1, ABI1, LTBR, TAF5, RCOR1, NUP37	1874	299	16792	2.0977787930597547	1.1906281217055614E-5	2.9765879766304102E-6	2.965183424995811E-6
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	33	1.2736395214203011	3.2179681373856127E-9	RPL4, RPL5, RPL30, RPL12, RPL36A, RPS15A, RPS16, SRP72, RPL18A, RPL36, RPS3, RPLP2, RPL38, RPL15, RPL18, RPS11, RPS10, RPL19, RPS9, RPL21, RPS7, RPS6, RPL13A, RPL23A, RPSA, SRP9, RPS25, RPS27, RPL27A, RPL27, FAU, RPS21, RPS24	1874	94	16792	3.1457117554894523	1.511789994823598E-5	3.023602861887522E-6	3.0120181765929336E-6
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	64	2.4700887688151294	9.20135901573014E-9	DDX3X, HSP90AB1, HDLBP, ENO1, LASP1, SLK, CAPZB, MPRIP, TRIM29, RACK1, EFHD2, TNKS1BP1, ARFIP2, TBC1D10A, SCYL1, TMPO, LYPLA2, SH3GLB2, ANXA2, CSNK1D, EPS15L1, RANGAP1, PLCB3, PKM, EXOC3, PLIN3, CDC42EP1, PFN1, ALDOA, EPHA2, PLEC, AHNAK, TACSTD2, CAPG, SLC3A2, IQGAP1, CORO1B, CNN2, LIMA1, KLC2, LARP1, PRDX1, EIF4H, STX5, RPL15, PAK2, MARK2, SNX5, SPTBN2, VASP, DAB2IP, RPL23A, EEF2, PRDX6, EHD1, RSL1D1, KRT18, EIF2S3, VAPA, GIPC1, ABI1, EIF3E, EIF4G2, TJP2	1874	271	16792	2.1161357397992338	4.322705050285869E-5	7.2046641093167005E-6	7.17706003226951E-6
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	37	1.4280200694712466	1.2556411490117363E-8	RPL4, RPL5, SMG1, RPL30, RPL12, PARN, RPL36A, SMG9, PPP2R2A, RPS15A, RPS16, RPL18A, RPL36, RPS3, RPLP2, RPL38, RPL15, RPL18, RPS11, RPS10, RPL19, RPS9, RPL21, RPS7, RPS6, PYM1, RPL13A, RPL23A, RPSA, RPS25, RPS27, RPL27A, RPL27, EIF3E, FAU, RPS21, RPS24	1874	119	16792	2.7860416311668748	5.898828156114533E-5	8.427145882938766E-6	8.394857967678464E-6
GOTERM_BP_DIRECT	GO:0006412~translation	58	2.238517946738711	1.4536848784481984E-7	RPL4, RPL5, RPL30, EFTUD2, RPS16, RPL18A, RPL36AL, RPL36, RPLP2, RPL38, RPS11, SLC25A45, RPS10, RPS9, RPL21, RPL36A-HNRNPH2, RPS7, PABPC4, RPS6, MRPL49, RPL13A, RPSA, NHP2, RPL27, SLC25A11, MRPS36, RPL12, RPL36A, IGHMBP2, RPS27L, SNU13, SLC25A27, RPS15A, UCP2, RPS3, RPL15, SLC25A23, RPL18, SLC25A22, SLC25A25, SLC25A24, ABCF1, RPL19, MRPL28, RPL23A, GTF2H3, MRPL21, RSL1D1, RPS25, SLC25A37, RPS27, RPL27A, AGO2, RPS6KB2, FAU, SLC25A34, RPS21, RPS24	1874	253	16792	2.054188584372799	6.827080540707797E-4	8.132177460919145E-5	8.101019692869647E-5
GOTERM_BP_DIRECT	GO:0006281~DNA repair	55	2.122732535700502	1.557888402474932E-7	RPAIN, MUS81, SMG1, FEN1, BRCA1, POLB, PAGR1, CHAF1B, ALKBH1, MEN1, RBM14, SLX1B, DDX11, CSNK1D, ACTR8, KIF22, SMC1A, DDB2, MSH6, DDB1, EID3, POLG2, MSH3, RBM14-RBM4, SLX1A, VCP, PARPBP, DOT1L, IGHMBP2, RPS27L, PDS5A, RAD51AP1, FZR1, SLX4, RPS3, FANCI, POLQ, NPM1, SLF1, MCRS1, NONO, XRCC3, INO80, SSRP1, GTF2H3, GTF2H4, APTX, FANCG, CDK9, POLE2, TDP1, RFWD3, MMS19, ATM, RAD9A	1874	235	16792	2.0971411703263017	7.316282580435152E-4	8.132177460919145E-5	8.101019692869647E-5
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	29	1.1192589733693554	5.3011306320458585E-6	AHCTF1, ZWILCH, PDS5A, NUP160, AURKB, SKA2, XPO1, RAD21, NUF2, KNTC1, SPDL1, RANBP2, CENPU, RCC2, DDX11, KIF22, RANGAP1, SMC1A, KIF18A, STAG1, RPS27, KIF2A, CENPH, INCENP, CENPM, CENPN, KIF2C, SPC24, NUP37	1874	103	16792	2.5228626788656214	0.024597212317287065	0.0024904711709351443	0.0024809291357974616
