Enhancer	Target_gene
TE_15878	ADSL
TE_15922	RRP7A
TE_15879	ADSL
TE_15591	LRRC75B
TE_15591	GGT1
TE_15912	CYP2D7
TE_15912	LOC101929829
TE_15912	CYP2D6
TE_15557	PPIL2
TE_15557	MIR130B
TE_15557	MIR301B
TE_15980	SHISA8
TE_15980	MIR378I
TE_15980	TNFRSF13C
TE_15493	USP18
TE_15904	SNU13
TE_15904	MEI1
TE_15904	C22orf46
TE_15980	GTSE1
TE_15980	GTSE1-DT
TE_15819	CARD10
TE_15886	SLC25A17
TE_15886	MIR4766
TE_15828	GGA1
TE_15886	RBX1
TE_15520	COMT
TE_15520	TXNRD2
TE_15927	LRRC75B
TE_15927	GGT1
TE_15895	CHADL
TE_15825	GGA1
TE_15819	MFNG
TE_15913	SHISA8
TE_15913	MIR378I
TE_15913	TNFRSF13C
TE_15878	MRTFA
TE_15552	PPIL2
TE_15552	MIR130B
TE_15552	MIR301B
TE_22555	INHBA
TE_22555	INHBA-AS1
TE_22499	CASTOR2
TE_22499	GTF2IP1
TE_22499	SPDYE10P
TE_22539	PMS2P1
TE_22539	STAG3L5P-PVRIG2P-PILRB
TE_22539	STAG3L5P
TE_22546	CASTOR2
TE_22546	GTF2IP1
TE_22546	SPDYE10P
TE_22431	VKORC1L1
TE_22826	RASA4
TE_22552	SPDYE5
TE_22552	POM121C
TE_21980	FSCN1
TE_22582	DTX2
TE_22577	POM121
TE_22215	LOC105375218
TE_22215	MIR550A1
TE_22215	MIR550B1
TE_22215	ZNRF2
TE_22577	SPDYE5
TE_22577	POM121C
TE_22784	PMS2P1
TE_22784	STAG3L5P-PVRIG2P-PILRB
TE_22784	STAG3L5P
TE_22784	TMEM120A
TE_22796	FIS1
TE_22796	CLDN15
TE_22577	SPDYE6
TE_22577	LOC100630923
TE_22577	LOC100289561
TE_22970	AASS
TE_22444	SEPTIN7P2
TE_22499	CASTOR3
TE_22443	PSPH
TE_22443	SUMF2
TE_22443	CCT6A
TE_22443	SNORA22B
TE_22443	SNORA15
TE_22215	DPY19L2P3
TE_22215	LOC646762
TE_22215	MIR550A3
TE_22215	ZNRF2P2
TE_21931	TTYH3
TE_22407	CLDN3
TE_22107	INHBA
TE_22107	INHBA-AS1
TE_21929	AMZ1
TE_21973	EPHB4
TE_21973	SLC12A9
TE_22443	GUSB
TE_21987	USP42
TE_22421	ZNF713
TE_22546	CASTOR3
TE_22782	AGFG2
TE_22347	TMED4
TE_22347	DDX56
TE_22341	ZMIZ2
TE_22223	INHBA
TE_22223	INHBA-AS1
TE_23196	ZNF786
TE_22475	PMS2P1
TE_22475	STAG3L5P-PVRIG2P-PILRB
TE_22475	STAG3L5P
TE_22774	STAG3
TE_22774	GAL3ST4
TE_22774	GPC2
TE_22774	LAMTOR4
TE_22774	MAP11
TE_22774	MIR4658
TE_22784	POP7
TE_23085	CYREN
TE_22005	ZNF853
TE_22549	PMS2P1
TE_22549	STAG3L5P-PVRIG2P-PILRB
TE_22549	STAG3L5P
TE_22432	PSPH
TE_22432	SUMF2
TE_22432	CCT6A
