Enhancer	Target_gene
TE_1313	NBPF15
TE_1630	LOC100506023
TE_1630	PRDX6
TE_308	TRNP1
TE_2292	LOC100288069
TE_252	ELOA
TE_1632	SNORD81
TE_1632	SNORD47
TE_1632	SNORD80
TE_1632	SNORD79
TE_1632	SNORD78
TE_1632	SNORD44
TE_1632	SNORA103
TE_1632	SNORD77
TE_1632	SNORD75
TE_1632	SNORD74
TE_1632	GAS5
TE_1632	GAS5-AS1
TE_1632	ZBTB37
TE_1632	SNORD76
TE_541	PRDX1
SE_13	CAPZB
TE_270	SRRM1
TE_2564	ZNF496
TE_143	INKA2
TE_143	LOC101928718
TE_143	DDX20
TE_506	ELOVL1
TE_506	MIR6734
TE_506	CDC20
TE_1166	AMPD2
TE_1166	GNAT2
TE_1334	RNF115
TE_1334	POLR3C
TE_1684	TOR3A
SE_18	CLIC4
TE_2315	TMEM63A
TE_2315	LEFTY1
TE_305	TRNP1
TE_79	GPR157
SE_61	PHLDA3
TE_80	H6PD
SE_27	NDUFS5
SE_17	LYPLA2
SE_17	GALE
TE_1386	PRPF3
SE_8	ZBTB17
TE_378	PTP4A2
TE_378	KHDRBS1
TE_1388	MIR4257
TE_1388	ADAMTSL4-AS1
TE_1388	ADAMTSL4
TE_305	RPS6KA1
TE_2297	CNIH3
TE_2297	WDR26
TE_79	H6PD
TE_1313	NBPF3
TE_1329	ANKRD35
TE_171	SDHB
TE_252	TCEA3
TE_1721	LOC647070
TE_1721	DHX9
TE_1633	SNORD81
TE_1633	SNORD47
TE_1633	SNORD80
TE_1633	SNORD79
TE_1633	SNORD78
TE_1633	SNORD44
TE_1633	SNORA103
TE_1633	SNORD77
TE_1633	SNORD75
TE_1633	SNORD74
TE_1633	GAS5
TE_1633	GAS5-AS1
TE_1633	ZBTB37
TE_1633	SNORD76
TE_1684	AXDND1
TE_12	SCNN1D
TE_12	UBE2J2
TE_1026	TMED5
TE_1026	CCDC18
SE_68	PTPN14
TE_316	FGR
TE_1362	NBPF15
TE_1388	RPRD2
TE_17	NADK
SE_68	CEP170
SE_68	SDCCAG8
SE_27	AKIRIN1
TE_2010	SNRPE
TE_1437	MTX1
TE_1437	THBS3
TE_1437	MUC1
TE_1437	GBA
TE_1437	MIR92B
TE_1437	GBAP1
TE_110	NCDN
TE_110	KIAA0319L
TE_1292	TRNP1
TE_79	SRRM1
SE_46	LOC729970
SE_46	CNN3
SE_71	LMNA
TE_1350	RNF115
TE_1350	POLR3C
TE_1721	TRNP1
TE_21	MORN1
TE_21	RER1
TE_270	TRNP1
TE_446	PABPC4
TE_446	PABPC4-AS1
TE_446	SNORA55
TE_1508	UAP1
TE_102	PGD
SE_70	BROX
SE_70	AIDA
TE_394	AK2
TE_155	CPLANE2
TE_1977	ZNF678
TE_1386	MIR4257
TE_1386	ADAMTSL4-AS1
TE_1386	ADAMTSL4
TE_1409	S100A10
SE_27	PHC2
SE_27	PHC2-AS1
TE_1390	GABPB2
TE_1390	MLLT11
TE_1960	ZNF281
TE_94	UBE4B
TE_157	ZBTB17
SE_46	F3
SE_46	MIR12133
TE_316	TRNP1
TE_798	TRNP1
TE_1023	SNORD21
TE_1023	SNORA66
TE_1023	RPL5
TE_616	GLIS1
TE_378	MTMR9LP
TE_378	FAM167B
TE_378	LCK
SE_16	CDC42
TE_799	TARDBP
SE_38	PHC2
SE_38	PHC2-AS1
SE_23	KHDRBS1
TE_1721	PLEKHO1
TE_1721	LOC105371433
TE_12	MIR6808
TE_12	MXRA8
TE_12	DVL1
TE_1958	ZNF281
TE_2305	GSTM3
TE_1424	SLC39A1
TE_1424	RPS27
TE_1424	MIR6737
TE_1424	CREB3L4
TE_1424	RAB13
TE_1424	JTB
TE_1424	CRTC2
SE_27	HP1BP3
TE_309	TRNP1
TE_44	ENO1-AS1
