Enhancer	Target_gene
TE_21948	FAM27C
TE_21948	LOC105379807
TE_21948	LOC102723709
TE_21948	FAM27E3
TE_21948	FAM27B
TE_21968	LINC00537
TE_21968	MIR4477A
TE_21968	MIR4477B
TE_21953	FAM27C
TE_21953	LOC105379807
TE_21953	LOC102723709
TE_21953	FAM27E3
TE_21953	FAM27B
SE_735	GBGT1
TE_22225	NANS
TE_21896	ZCCHC7
TE_22391	STOM
TE_21948	FAM27E2
TE_21982	FRG1HP
SE_735	GFI1B
TE_21934	LOC107984035
TE_21953	FAM27E2
TE_21752	AK3
TE_22490	SWI5
TE_22490	GOLGA2
TE_21792	NFIB
TE_22621	RABL6
TE_22621	CCDC183
TE_22621	TMEM141
TE_22621	CCDC183-AS1
SE_729	PHF19
TE_21903	TOMM5
TE_22325	LOC102723709
TE_22325	FAM27E3
TE_22325	LOC105379807
TE_22325	FAM27B
TE_22491	SLC25A25
TE_22491	NAIF1
TE_22527	NTMT1
SE_735	SUSD1
SE_735	PHF19
TE_21979	LINC00537
TE_21979	MIR4477A
TE_21979	MIR4477B
TE_21847	NOL6
TE_21847	MIR6851
TE_21982	FRG1JP
TE_22212	ANP32B
TE_22621	EDF1
SE_716	STOM
TE_22488	ST6GALNAC6
SE_712	BAG1
SE_712	CHMP5
TE_22320	LRSAM1
TE_22320	RPL12
TE_22320	SNORA65
TE_21903	RAD23B
TE_22561	UCK1
TE_21900	POLR1E
TE_21899	APTX
TE_21899	DNAJA1
TE_22618	EGFL7
TE_22618	MIR126
TE_22618	HSPC324
SE_735	UBAC1
SE_726	STOM
TE_22490	SLC25A25
TE_22490	NAIF1
TE_22623	AGPAT2
TE_22621	LCN12
TE_22621	C8G
TE_22621	FBXW5
TE_22494	URM1
TE_21980	FRG1HP
TE_21948	QSOX2
TE_22527	TOR1B
TE_22204	MFSD14B
SE_735	RALGDS
TE_22536	GPR107
TE_22536	FNBP1
TE_22331	HNRNPK
TE_22331	RMI1
TE_22331	MIR7-1
TE_21953	LOC107984035
TE_22486	SLC25A25
TE_22486	NAIF1
TE_22537	GPR107
TE_22537	FNBP1
TE_22492	PKN3
TE_21985	FRG1HP
SE_735	LRSAM1
SE_735	RPL12
SE_735	SNORA65
TE_22440	EGFL7
TE_22440	MIR126
TE_22440	HSPC324
TE_12	LOC729737
TE_1347	NBPF15
TE_1329	LOC102723769
TE_2416	ZNF496
TE_220	CLCNKB
TE_1348	PDE4DIP
TE_1423	H3-2
TE_1423	H2BP2
TE_332	ELOA
TE_678	SLC6A9
TE_3	LOC729737
