Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	36	2.321083172147002	1.1237599816809248E-6	U2AF1L5, ISY1, SRRT, U2AF1, HNRNPR, YBX1, ELAVL1, RAVER1, PCF11, U2AF2, CSTF1, SNRNP35, POLR2J, SRSF11, SPEN, ISY1-RAB43, HSPA8, HNRNPA3, USP49, GPKOW, NCBP2, FUS, GTF2F2, SRRM1, HNRNPL, DDX39A, HNRNPK, SYF2, HNRNPH1, PRPF3, HNRNPA2B1, SNRPG, PRPF31, HNRNPC, SNRPC, SF1	1101	222	16792	2.473230723911923	0.0037989428855955687	0.0038061750579532925	0.0038061750579532925
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	35	2.256608639587363	2.0149509181088577E-4	PDXDC1, AHNAK, RPL6, RTN4, CRKL, CNN2, GOLGA2, PSMB6, LIMA1, LASP1, LARP1, ATIC, CAPZB, BAG3, MICALL1, EIF4H, EPS8L1, EPS15, MARK2, SCYL1, VASP, HSPA8, LYPLA2, RANGAP1, PLCB3, PKM, HNRNPK, CTTN, SERBP1, RPL24, EIF3E, DBN1, EIF4G2, PICALM, CHMP5	1101	271	16792	1.969762476916322	0.49466446356704896	0.25501823764724363	0.25501823764724363
GOTERM_BP_DIRECT	GO:0006413~translational initiation	22	1.4184397163120568	2.2587974990898464E-4	RPL4, RPL41, EIF2B2, RPL21, RPL10, RPL12, RPL22, RPL11, RPL6, RPS15, RPS25, LARP1, EIF6, AGO2, EIF4H, RPL24, RPL13, EIF3E, EIF1B, RPS21, EIF4G2, ABCF1	1101	137	16792	2.449160351903048	0.534731737499289	0.25501823764724363	0.25501823764724363
GOTERM_BP_DIRECT	GO:0016032~viral process	36	2.321083172147002	6.119305883770184E-4	POM121, CUL7, SHC1, SUV39H1, SUPT6H, PSMB6, XPO1, KAT5, POM121C, EIF4H, RCC1, MAPK1, EP300, E4F1, MICB, RANBP2, LYN, SPEN, GADD45GIP1, FDPS, HSPA8, ACOT8, DDX11, GBF1, RAD23A, CFLAR, KCTD5, RHOA, TNFRSF1A, HNRNPK, SP1, ERCC2, FKBP8, BAX, RBCK1, RCOR1	1101	299	16792	1.8363117749446383	0.8742228146960067	0.45624935061820676	0.45624935061820676
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	28	1.8052869116698904	8.041180120665254E-4	RPL4, RPL10, SUV39H1, RPL12, RPL11, RRP1, ISG20L2, DDX21, RPL6, NOL6, RPS15, RRP7A, EXOSC6, RRP36, RPL13, EXOSC1, RPL41, RPL21, UTP11, IMP3, RPL22, PA2G4, BYSL, ISG20, RPS25, RPL24, TSR1, RPS21	1101	214	16792	1.995535070072237	0.9344304141664352	0.45624935061820676	0.45624935061820676
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	163	10.509348807221148	8.082362278444761E-4	ZNF451, JMJD1C, UBP1, UBE2L3, ALKBH4, KAT5, ZNF83, DPF2, DPF3, ZNF205, TRIM27, ZNF841, SSX1, ZNF320, TLE2, SMARCC1, KDM2B, DDX11, DAPK3, ZBTB37, PTOV1, OVOL1, HIC2, ZNF718, DDIT3, ZNF713, ZSCAN26, SRFBP1, PGR, TRIB3, SF1, KMT2E, ZNF276, HOMEZ, ANP32A, EPAS1, DDX1, WDR61, GATA2, RLF, SUPT6H, NPAS1, NKAPL, ZNF876P, ZNF429, ZSCAN10, HOXC5, ZNF789, HOXC4, ZNF701, E4F1, ZKSCAN4, ZNF786, HOXC9, GTF2IRD2B, HOXC8, ZNF783, BPTF, HOXC6, ESRRA, MCTS1, BHLHA9, ZBTB17, HEXIM2, HSPA8, ZNF384, CBX3, GTF2IRD2, TRIP4, NR2F2, PA2G4, ZBTB11, FOXN2, SMAD6, MLXIPL, ZNF816, AGO2, TRIP6, ID1, PPP1R1B, CNOT3, ZSCAN4, SP6, TCF3, ZNF410, RCOR1, PHF19, EZH2, ZNF496, RNF10, TCF25, SUV39H1, CHD6, ZNF43, ASH2L, WASL, HOXC10, ZNF280C, HMG20B, ZNF487, TEAD2, ZNF385A, SCYL1, KLF10, TSC22D4, EED, PDPK1, NCOA4, ZFP92, ARNT, EDF1, BAZ1B, ZNF57, ARID1A, ARID1B, ZHX1, ZEB2, MED20, TRNP1, POLR1E, NCOA7, ZNF358, ZNF512, ZNF596, PPARD, ZNF595, HDAC5, ZNF593, ZNF197, ZNF592, GTF3C6, PLAG1, SATB2, TFPT, ZNF629, E2F1, ZNF746, MAPK1, E2F3, PRAME, ZNF468, POLR2J, ZNF286A, MLXIP, SUZ12, SPEN, ZNF581, ZNF184, ZNF580, USP21, CNBP, NR1H2, YY1AP1, ZNF33B, POLR3C, NFIB, TBX10, HDGF, BCOR, ZNF611, ZNF213, MPHOSPH8, FOXA3	1101	1955	16792	1.2716158990548003	0.9353393834790937	0.45624935061820676	0.45624935061820676
GOTERM_BP_DIRECT	GO:0036109~alpha-linolenic acid metabolic process	6	0.3868471953578337	9.86938368851034E-4	ELOVL1, FADS2, ACOT8, ACOX1, ELOVL3, FADS1	1101	13	16792	7.03919513728778	0.9647190065989852	0.4775371793283503	0.4775371793283503
GOTERM_BP_DIRECT	GO:0006369~termination of RNA polymerase II transcription	12	0.7736943907156674	0.002728436521573158	LSM10, U2AF1L5, DDX39A, PCF11, NCBP2, U2AF2, CSTF1, SNRPG, U2AF1, THOC2, SRSF11, SRRM1	1101	64	16792	2.8596730245231607	0.9999042571408572	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0048011~neurotrophin TRK receptor signaling pathway	6	0.3868471953578337	0.0028398826189627176	NTRK1, DDIT4, AKT1S1, PTPN11, RAF1, BCAR1	1101	16	16792	5.7193460490463215	0.9999344282967627	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	39	2.5145067698259185	0.003313074569420457	ACHE, DAZAP1, CTF1, RRN3, DCTN2, SH2D2A, SRRT, DNPH1, CDC14A, AURKB, CKS1B, UBE2L3, LARP1, MYC, PIM1, E4F1, TRIM27, EPS15, FAM83A, KLF10, APC2, TXNRD1, PA2G4, BYSL, ISG20, IL1A, TPX2, GFI1B, ERCC1, DDIT4, ERCC2, GNB1, HDGF, RAF1, MAP3K11, BCAR1, BCL2L1, PPARD, PICALM	1101	366	16792	1.6251693691279168	0.9999868621524357	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0010467~gene expression	10	0.6447453255963894	0.0035467023651617794	HNRNPL, HNRNPA3, HNRNPK, HNRNPH1, NCBP2, HNRNPA2B1, HNRNPR, HNRNPC, GTF2F2, POLR2J	1101	48	16792	3.177414471692401	0.99999406138203	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:1900026~positive regulation of substrate adhesion-dependent cell spreading	8	0.5157962604771116	0.004019654492344954	NET1, PREX1, CALR, CRK, UNC13D, LIMS1, CRKL, DNM2	1101	32	16792	3.812897366030881	0.9999988105341855	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	13	0.8381689232753062	0.004139882090154124	PDIA2, EGLN2, TXNRD2, TXNRD1, TXNDC11, TXNDC12, PRDX3, PRDX2, PRDX5, DDIT3, P4HB, QSOX2, NXNL1	1101	77	16792	2.5749436757611144	0.9999992097253178	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0007266~Rho protein signal transduction	10	0.6447453255963894	0.004712842233767049	GNA13, CNKSR1, ARHGDIA, CFL1, CDC42EP2, RHOG, ARHGDIG, EPS8L1, RHOA, PHACTR4	1101	50	16792	3.050317892824705	0.9999998874793834	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0031124~mRNA 3'-end processing	10	0.6447453255963894	0.004712842233767049	U2AF1L5, DDX39A, PCF11, NCBP2, U2AF2, CSTF1, U2AF1, THOC2, SRSF11, SRRM1	1101	50	16792	3.050317892824705	0.9999998874793834	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	17	1.096067053513862	0.004716867543131578	RPL4, SMG1, RPL41, RPL21, RPL10, NCBP2, RPL12, RPL22, RPL11, RPL6, RPS15, RPS25, RPL24, RPL13, ETF1, EIF3E, RPS21	1101	119	16792	2.178798494874789	0.9999998890102166	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0046931~pore complex assembly	4	0.2578981302385558	0.004825648193998933	GSDMD, P2RX7, CCT3, BAD	1101	6	16792	10.167726309415682	0.9999999233513693	0.9614394372396698	0.9614394372396698
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	124	7.994842037395229	0.005239107674352194	ZMYND8, JMJD1C, RPL6, UBE2L3, ALKBH4, KAT5, ZNF83, MYC, DPF2, DPF3, EP300, ZNF205, ZNF841, FADS1, SSX1, PITX3, ZNF320, TLE2, DAPK3, ZBTB37, PTOV1, GTF2F2, MYCL, ZNF718, DDIT3, PMS2P3, ZNF713, ZSCAN26, SRFBP1, PRKCQ, SF1, ZNF276, CRABP2, ANP32A, DDX1, RLF, SUPT6H, NKAPL, PGBD1, POM121C, ZNF876P, ZNF429, ZSCAN10, ZNF789, HOXC4, ZNF701, ZKSCAN4, ZNF786, HOXC9, BPTF, ESRRA, MCTS1, BHLHA9, ZNF384, ZNF141, GTF2IRD2, TRIP4, ZBTB11, MLXIPL, YEATS2, ZNF816, SP1, TRIP6, CNOT3, ZSCAN4, SP6, TCF3, CALR, ZNF410, PHF19, EZH2, ZNF43, ASH2L, WASL, YBX1, HOXC10, SNAPC5, ZNF768, HMG20B, ZNF487, TEAD2, ZNF385A, SCYL1, ZNF816-ZNF321P, PDPK1, PRMT1, ZFP92, EDF1, BAZ1B, ZNF57, DNM2, IRF3, CSDE1, TRNP1, ZNF358, ZNF512, ZNF596, ZNF595, ZNF197, ZNF592, SATB2, SRRT, FOXK2, MLLT1, TFPT, TAF1D, ZNF629, ZNF747, E2F1, ZNF746, ZNF468, TCFL5, ZNF286A, SUZ12, ZNF581, ZNF184, ZNF580, CNBP, YY1AP1, ZNF33B, GFI1B, ZNFX1, ZNF611, ZNF213	1101	1504	16792	1.2574448760314607	0.999999981239351	0.9858254273906044	0.9858254273906044
GOTERM_BP_DIRECT	GO:0019083~viral transcription	16	1.0315925209542232	0.0063278881499927485	RPL4, RANBP2, POM121, RPL41, RPL21, RPL10, RPL12, RPL22, RPL11, RPL6, RPS15, RPS25, POM121C, RPL24, RPL13, RPS21	1101	112	16792	2.178798494874789	0.9999999995403961	1.0	1.0
GOTERM_BP_DIRECT	GO:0006298~mismatch repair	8	0.5157962604771116	0.0067679269097110336	POLD4, RNASEH2A, EXO1, MSH3, POLD1, PMS2P5, PMS2P3, PMS2P1	1101	35	16792	3.486077591799663	0.9999999998974726	1.0	1.0
