Enhancer	Target_gene
TE_22161	SPTBN4
TE_22161	BLVRB
TE_22313	TEAD2
TE_22313	DKKL1
SE_1115	PRKD2
SE_1115	STRN4
SE_1115	FKRP
SE_1115	MIR320E
SE_1115	AP2S1
TE_22102	COX7A1
TE_22102	CAPNS1
TE_22423	TEAD2
TE_22423	DKKL1
SE_1103	UBA52
SE_1103	KXD1
SE_1118	LENG8
SE_1118	LENG8-AS1
SE_1118	CDC42EP5
SE_1118	LENG9
SE_1078	WDR18
SE_1078	ABCA7
SE_1078	CNN2
SE_1078	RNU6-1
SE_1078	RNU6-7
SE_1078	RNU6-8
SE_1078	RNU6-9
SE_1078	RNU6-2
SE_1078	GRIN3B
SE_1078	TMEM259
SE_1077	WDR18
SE_1077	ABCA7
SE_1077	CNN2
SE_1077	RNU6-1
SE_1077	RNU6-7
SE_1077	RNU6-8
SE_1077	RNU6-9
SE_1077	RNU6-2
SE_1077	GRIN3B
SE_1077	TMEM259
SE_1103	FKBP8
SE_1103	ELL
TE_21677	CAMSAP3
TE_21782	DDX39A
SE_1077	R3HDM4
SE_1077	KISS1R
SE_1077	ARID3A
SE_1101	EPHX3
SE_1098	RAD23A
SE_1098	DAND5
SE_1098	SYCE2
SE_1098	GADD45GIP1
SE_1098	MIR5695
SE_1098	FARSA-AS1
SE_1098	MIR6515
SE_1098	FARSA
SE_1098	CALR
TE_21718	CDKN2D
TE_21718	AP1M2
TE_21718	KRI1
TE_21826	ANKLE1
TE_21826	DDA1
TE_21826	MRPL34
TE_21826	ABHD8
SE_1110	C19orf33
SE_1110	YIF1B
SE_1110	KCNK6
SE_1100	DDX39A
TE_21878	LPAR2
TE_21878	PBX4
TE_21609	TLE5
TE_21609	TLE2
SE_1090	RPL36
SE_1090	HSD11B1L
SE_1090	MICOS13
TE_22395	CACNG8
SE_1098	STX10
SE_1098	IER2
TE_21910	ZNF724
SE_1115	ZNF404
SE_1110	ECH1
SE_1110	HNRNPL
SE_1077	CDC34
SE_1077	GZMM
TE_22281	NOP53
TE_22281	SNORD23
TE_22426	ZNF580
TE_22426	EPN1
TE_22426	ZNF581
TE_22426	U2AF2
TE_22426	CCDC106
TE_21752	RAD23A
TE_21752	DAND5
TE_21752	SYCE2
TE_21752	GADD45GIP1
TE_21752	MIR5695
TE_21752	FARSA-AS1
TE_21752	MIR6515
TE_21752	FARSA
TE_21752	CALR
TE_21782	GIPC1
TE_21782	PTGER1
SE_1112	ACTN4
TE_22281	SELENOW
TE_22281	NOP53-AS1
SE_1110	DPF1
TE_22412	FCAR
TE_22421	ZNF580
TE_22421	EPN1
TE_22421	ZNF581
TE_22421	U2AF2
TE_22421	CCDC106
TE_21585	SCAMP4
TE_21585	ADAT3
TE_21869	TMEM161A
SE_1078	ARHGAP45
TE_22373	ZNF320
TE_21622	DAPK3
TE_21622	SNORD37
TE_21622	EEF2
TE_21622	MIR637
TE_21878	ZNF101
TE_21878	ATP13A1
SE_1088	RPL36
SE_1088	HSD11B1L
SE_1088	MICOS13
TE_22297	SPHK2
TE_22297	SPACA4
TE_22297	RPL18
TE_22297	CA11
TE_22297	SEC1P
TE_22297	DBP
TE_22297	FAM83E
TE_21585	RPS15
TE_21585	APC2
TE_21639	FEM1A
TE_22281	C5AR2
TE_22281	DHX34
SE_1103	TEAD2
SE_1103	DKKL1
TE_22257	PRKD2
TE_22257	STRN4
TE_22257	FKRP
TE_22257	MIR320E
TE_21578	RPS15
TE_21578	APC2
TE_21578	STK11
TE_22249	CCDC61
TE_22276	MEIS3
SE_1080	IZUMO4
SE_1080	MOB3A
TE_22281	NAPA
SE_1115	CCDC9
TE_21850	IQCN
TE_21850	JUND
TE_21850	MIR3188
SE_1103	HOMER3
SE_1103	HOMER3-AS1
TE_21778	DDX39A
TE_22281	MEIS3
TE_21697	ACTL9
TE_21837	NXNL1
TE_21837	SLC27A1
TE_21837	TMEM221
TE_21873	BORCS8-MEF2B
TE_21873	RFXANK
TE_21873	BORCS8
TE_21873	NR2C2AP
TE_21873	NCAN
TE_22062	KIAA0355
TE_22311	TEAD2
TE_22311	DKKL1
TE_21730	KANK2
TE_21730	LOC105372273
TE_21826	GTPBP3
TE_21826	ANO8
TE_21585	REXO1
TE_21585	KLF16
TE_22264	SLC1A5
SE_1115	PTGIR
SE_1115	GNG8
TE_21878	BORCS8-MEF2B
TE_21878	RFXANK
TE_21878	BORCS8
TE_21878	NR2C2AP
TE_21878	NCAN
TE_22025	FAAP24
TE_22025	CEP89
TE_22297	EMP3
TE_22297	CCDC114
SE_1115	SLC1A5
SE_1115	SAE1
TE_21576	RPS15
TE_21576	APC2
TE_22315	RPL13A
TE_22315	FLT3LG
TE_22315	FCGRT
TE_22315	MIR150
TE_22315	RPS11
TE_22315	SNORD32A
TE_22315	SNORD33
TE_22315	SNORD34
TE_22315	SNORD35A
TE_22315	SNORD35B
TE_22155	AKT2
TE_22155	MIR641
TE_22394	CACNG8
SE_1101	BRD4
TE_21619	TBXA2R
TE_21619	CACTIN
TE_21619	CACTIN-AS1
SE_1100	PKN1
SE_1077	PALM
SE_1077	MADCAM1
SE_1082	LINGO3
SE_1112	ECH1
SE_1112	HNRNPL
TE_22281	ZNF580
TE_22281	EPN1
TE_22281	ZNF581
TE_22281	U2AF2
TE_22281	CCDC106
TE_21616	TLE5
TE_21616	TLE2
TE_21561	BSG
TE_21707	PPAN
TE_21707	ANGPTL6
TE_21707	EIF3G
TE_21707	SNORD105
TE_21707	SNORD105B
TE_21707	PPAN-P2RY11
TE_21707	SHFL
TE_21707	P2RY11
TE_21584	UQCR11
SE_1085	TICAM1
TE_22120	SPINT2
TE_22120	PPP1R14A
TE_21642	DAPK3
TE_21642	SNORD37
TE_21642	EEF2
TE_21642	MIR637
TE_22102	NFKBID
TE_22102	TYROBP
TE_22102	HCST
SE_1097	HOOK2
SE_1097	RNASEH2A
SE_1097	MIR5684
SE_1097	JUNB
SE_1097	PRDX2
TE_22281	RAD23A
TE_22281	DAND5
TE_22281	SYCE2
TE_22281	GADD45GIP1
TE_22281	MIR5695
TE_22281	FARSA-AS1
TE_22281	MIR6515
TE_22281	FARSA
TE_22281	CALR
SE_1103	KLHL26
SE_1085	DPP9
SE_1113	FBXO27
TE_21964	URI1
TE_21873	ZNF14
TE_21578	ARHGAP45
TE_22428	LINC01864
TE_22322	TEAD2
TE_22322	DKKL1
SE_1084	FEM1A
TE_21829	COLGALT1
TE_21556	MADCAM1
TE_21905	ZNF738
TE_21642	FBXL12
TE_21642	UBL5
TE_21642	PIN1
TE_21587	REXO1
TE_21587	KLF16
TE_21740	PLPPR2
TE_21740	TMEM205
TE_21740	RAB3D
TE_21740	CCDC159
SE_1115	TIMM50
SE_1084	TNFAIP8L1
TE_21599	SF3A2
TE_21599	PLEKHJ1
TE_21599	MIR1227
TE_21599	MIR6789
TE_21869	SUGP1
TE_21869	MAU2
SE_1082	ZNF554
TE_21584	MBD3
TE_21796	NOTCH3
TE_21826	CPAMD8
TE_21826	F2RL3
SE_1117	PPFIA3
SE_1117	C19orf73
SE_1117	LIN7B
TE_21623	TBXA2R
TE_21623	CACTIN
TE_21623	CACTIN-AS1
TE_21578	SBNO2
SE_1110	ZNF781
SE_1116	TEAD2
SE_1116	DKKL1
TE_21620	GIPC3
TE_21620	HMG20B
SE_1079	STK11
TE_22301	SPHK2
TE_22301	SPACA4
TE_22301	RPL18
TE_22301	CA11
TE_22301	SEC1P
TE_22301	DBP
TE_22301	FAM83E
TE_21721	QTRT1
SE_1086	KDM4B
TE_22396	OSCAR
TE_22396	TFPT
TE_22396	PRPF31
TE_22396	NDUFA3
TE_21584	PLK5
TE_21594	DOT1L
TE_22281	BICRA
SE_1078	R3HDM4
SE_1078	KISS1R
SE_1078	ARID3A
SE_1122	MBD3
TE_21878	GATAD2A
TE_22395	LENG1
TE_22395	TMC4
TE_22395	CNOT3
TE_21576	R3HDM4
TE_21576	KISS1R
TE_21576	ARID3A
TE_21570	MED16
TE_21570	RNU6-1
TE_21570	RNU6-7
TE_21570	RNU6-8
TE_21570	RNU6-9
TE_21570	RNU6-2
TE_21559	MARCHF2
TE_21604	ZNF554
SE_1115	ZSCAN22
SE_1115	LOC105372480
SE_1115	MIR6806
TE_21730	TMED1
TE_21730	MIR6793
SE_1078	SBNO2
SE_1087	KDM4B
TE_21584	RPS15
TE_21584	APC2
TE_21833	BABAM1
TE_21833	USHBP1
SE_1079	ARHGAP45
TE_22395	CACNG6
TE_22395	MIR935
TE_22298	SPHK2
TE_22298	SPACA4
TE_22298	RPL18
TE_22298	CA11
TE_22298	SEC1P
TE_22298	DBP
TE_22298	FAM83E
SE_1085	SEMA6B
TE_21871	SUGP1
TE_21871	MAU2
SE_1110	SPINT2
SE_1110	PPP1R14A
TE_22301	IZUMO1
TE_22301	FGF21
TE_22301	RASIP1
TE_22301	FUT1
SE_1100	GIPC1
SE_1100	PTGER1
SE_1078	FSTL3
TE_21867	BORCS8-MEF2B
TE_21867	RFXANK
TE_21867	BORCS8
TE_21867	NR2C2AP
TE_21867	NCAN
TE_21576	WDR18
TE_21576	ABCA7
TE_21576	CNN2
TE_21576	RNU6-1
TE_21576	RNU6-7
TE_21576	RNU6-8
TE_21576	RNU6-9
TE_21576	RNU6-2
TE_21576	GRIN3B
TE_21576	TMEM259
TE_21865	LENG8
TE_21865	LENG8-AS1
TE_21865	CDC42EP5
TE_21865	LENG9
TE_22231	RTN2
TE_22231	VASP
TE_22231	FOSB
TE_22231	PPM1N
TE_22394	LENG1
TE_22394	TMC4
TE_22394	CNOT3
SE_1077	AZU1
SE_1077	PTBP1
SE_1077	MIR4745
SE_1077	PLPPR3
SE_1077	MIR3187
TE_21578	GAMT
TE_21578	DAZAP1
SE_1114	PRKD2
SE_1114	STRN4
SE_1114	FKRP
SE_1114	MIR320E
TE_21772	RLN3
TE_21772	IL27RA
TE_21578	POLR2E
TE_21578	GPX4
TE_21754	RAD23A
TE_21754	DAND5
TE_21754	SYCE2
TE_21754	GADD45GIP1
TE_21754	MIR5695
TE_21754	FARSA-AS1
TE_21754	MIR6515
TE_21754	FARSA
TE_21754	CALR
TE_21559	CDC34
TE_21559	GZMM
TE_21592	DOT1L
TE_21744	ZNF833P
TE_21812	LDLR
TE_21812	LDLR-AS1
TE_21959	CCNE1
TE_21904	GEMIN7-AS1
TE_21904	PPP1R37
TE_21869	BORCS8-MEF2B
TE_21869	RFXANK
TE_21869	BORCS8
TE_21869	NR2C2AP
TE_21869	NCAN
TE_21753	STX10
TE_21753	IER2
TE_21677	LYPLA2P2
TE_21677	LRRC8E
TE_21726	LDLR
TE_21726	LDLR-AS1
TE_22231	EML2
TE_22231	EML2-AS1
TE_22231	MIR330
SE_1086	PLIN3
TE_22428	ZNF787
TE_21630	SHD
TE_21609	GNG7
SE_1115	LINC01224
TE_21867	TMEM161A
TE_21686	CERS4
TE_22281	GP6
TE_22237	MARK4
SE_1122	ZIK1
SE_1122	ZNF416
TE_22316	MARK4
TE_21638	FEM1A
SE_1115	NPAS1
SE_1115	MARK4
TE_21700	OR7G3
SE_1079	MEX3D
SE_1086	MPND
SE_1086	STAP2
TE_21730	SPC24
TE_22319	BCL2L12
TE_22319	IRF3
TE_22319	CPT1C
TE_22319	PRMT1
TE_22319	MIR5088
TE_22319	ADM5
SE_1084	SH3GL1
SE_1084	CHAF1A
SE_1115	C5AR2
SE_1115	DHX34
TE_21594	REXO1
TE_21594	KLF16
TE_22281	LOC101930071
TE_22281	LIPE-AS1
TE_22281	CNFN
TE_22194	ZNF526
TE_22194	DEDD2
TE_21730	EPOR
TE_21730	SWSAP1
SE_1096	LDLR
SE_1096	LDLR-AS1
TE_22282	MEIS3
TE_22076	GRAMD1A
SE_1110	TOMM40
SE_1115	SMIM7
SE_1115	TMEM38A
TE_21599	NOP53
TE_21599	SNORD23
TE_21754	KLC3
TE_21668	FLJ25758
TE_21668	MBD3L2B
TE_22127	COLGALT1
TE_21594	MKNK2
TE_21622	SMIM24
SE_1110	ZNF91
TE_21602	LMNB2
TE_21602	LINC01775
SE_1101	SYDE1
SE_1115	LTBP4
SE_1115	SHKBP1
SE_1093	DENND1C
SE_1099	ZSWIM4
SE_1110	GRAMD1A
SE_1078	PALM
TE_21730	LDLR
TE_21730	LDLR-AS1
TE_22394	OSCAR
TE_22394	TFPT
TE_22394	PRPF31
TE_22394	NDUFA3
TE_22301	TMEM143
TE_22301	SYNGR4
TE_22275	CD37
TE_21638	KDM4B
TE_22129	LGALS7B
SE_1084	YJU2
SE_1077	MISP
SE_1114	CSNK1G2
SE_1096	CDKN2D
SE_1096	AP1M2
SE_1096	KRI1
SE_1084	PLIN3
TE_22264	PTGIR
TE_22264	GNG8
TE_22311	BCAT2
TE_21720	ZNF580
TE_21720	EPN1
TE_21720	ZNF581
TE_21720	U2AF2
TE_21720	CCDC106
TE_22396	MYADM
TE_22396	PRKCG
SE_1078	STK11
SE_1086	AMH
SE_1086	MIR4321
SE_1086	JSRP1
TE_22241	FBXO46
TE_22241	BHMG1
TE_21596	MIR8077
SE_1114	ERCC2
SE_1101	ZNF154
TE_22311	KCNA7
TE_22311	NTF4
TE_22311	CGB8
TE_22311	CGB5
TE_22311	SNRNP70
TE_22311	CGB7
TE_22281	SLC8A2
SE_1110	TTC9B
SE_1110	CNTD2
TE_21723	TSEN34
TE_21723	MBOAT7
TE_21723	RPS9
TE_21688	ANGPTL4
TE_22265	AP2S1
SE_1098	ZNF564
TE_21718	YIPF2
TE_21718	TIMM29
SE_1108	R3HDM4
SE_1108	KISS1R
SE_1108	ARID3A
TE_21878	CD37
TE_21619	CELF5
TE_22396	LILRB5
TE_22396	LILRA6
TE_22396	LILRB3
SE_1118	RPS15
SE_1118	APC2
TE_21667	FLJ25758
TE_21667	MBD3L2B
TE_21578	PLK5
TE_21623	PIAS4
TE_21718	ICAM3
TE_21718	RAVER1
TE_21626	DAPK3
TE_21626	SNORD37
TE_21626	EEF2
TE_21626	MIR637
TE_22328	SIGLEC11
TE_22328	SIGLEC16
TE_22275	C5AR2
TE_22275	DHX34
TE_21839	JAK3
TE_21830	GTPBP3
TE_21830	ANO8
TE_21623	ZFR2
TE_21623	ATCAY
TE_21592	IZUMO4
TE_21592	MOB3A
TE_21839	SNORA68
TE_21839	RPL18A
TE_21839	SLC5A5
TE_21837	EMP3
TE_21837	CCDC114
SE_1087	DMPK
SE_1087	SIX5
SE_1087	DM1-AS
SE_1087	DMWD
TE_21594	SCAMP4
TE_21594	ADAT3
TE_21594	CSNK1G2
TE_22281	CCDC9
TE_21578	C19orf25
TE_21578	PCSK4
TE_21578	REEP6
