Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	89	2.215583768981827	1.4508912842317825E-9	YWHAE, HSP90AB1, HDLBP, PARK7, ENO1, FNBP1L, CRKL, PCMT1, MPRIP, BSG, RACK1, ARFIP2, EMD, TBC1D10A, SH3GL1, TMPO, UNC45A, LYPLA2, SH3GLB2, DBNL, SWAP70, TMOD3, CSNK1D, RANGAP1, GAPVD1, HCFC1, PLCB3, CTTN, EEF1D, FSCN1, RPL24, PLIN3, ALDOA, DBN1, EPHA2, PLEC, RAB1A, NOTCH3, PDXDC1, CAPG, SLC3A2, IQGAP1, EVPL, RTN4, CORO1B, CNN3, PSMB6, CNN2, KLC2, LARP1, PUF60, CALD1, BAG3, PRDX1, EIF4H, RPL14, PACSIN2, EPS8L2, SFN, RPS2, EPS15, ARGLU1, WASF2, MARK2, GCN1, SNX5, SPTBN2, VASP, RANBP1, HSPA8, STAT1, RPL23A, EEF2, PAICS, PRDX6, CCS, KRT18, DIAPH3, VAPA, STK24, GIPC1, FASN, GLOD4, UBAP2, EIF3E, TJP2, HSPA1A, PICALM, ADGRL3	2948	271	16792	1.870663455616917	8.43254466431631E-6	8.43258014395512E-6	8.419522122397033E-6
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	70	1.7425939756036841	1.1367166022340811E-7	RPLP1, RPLP0, RRP1, RPL8, RPL9, RRP8, RPS4X, RPS15, RPS14, RPL18A, RPL36, RPLP2, RPL35, RPS11, RPL39, UTP14A, RPS13, RRP15, PELP1, RPS9, RPL21, UTP11, RPS8, IMP3, DIS3, PIH1D1, DDX56, WDR75, RPL13A, CSNK1D, SENP3, SIRT1, GEMIN4, RPL24, RPL27, RPL26, UBA52, DDX27, RPL12, HEATR1, RPL11, RPS27L, SNU13, MRM2, MRM3, NOL6, RRP7A, EMG1, EXOSC5, RPL14, RRP36, RPL13, RPS2, EXOSC3, RPL18, MDN1, EXOSC1, NOP58, RIOK3, WDR18, RPL23A, RPL3L, WDR55, ISG20, BOP1, TBL3, RPS27, RPS29, NOL11, RPS21	2948	214	16792	1.863198873939563	6.604415390213392E-4	3.30329844609224E-4	3.2981832213821867E-4
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	47	1.1700273836196167	4.169901565740198E-6	CEP57, YWHAE, KHDRBS1, BRSK2, DCTN2, CEP164, DCTN3, PKMYT1, PPM1D, PPP1CB, PCM1, TUBA1A, UBB, ENSA, CNTRL, MARK4, PCNT, NINL, PHLDA1, KAT14, RAB8A, SKP1, WNT10B, PPP1R12A, ODF2, FBXW11, PLK1, HAUS4, HAUS6, CSNK1D, TUBB4B, TUBB4A, CDC25B, NEDD1, TPX2, WEE1, MELK, BIRC5, FGFR1OP, PPP1R12B, NES, UBA52, AJUBA, CALM2, TAF2, SDCCAG8, PAFAH1B1	2948	137	16792	1.954124533272589	0.023944196444853016	0.006287555958056427	0.006277819550000249
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	36	0.8961911874533234	4.327292469412545E-6	RPLP1, RPL12, RPLP0, RPL11, RPL8, RPL9, RPS15, RPS4X, RPS14, SRP72, RPL18A, RPL36, RPL14, RPL35, RPLP2, RPL13, RPS2, RPL18, RPS11, RPL39, RPS13, RPS9, RPL21, RPS8, SSR3, RPL13A, RPL23A, SRP9, RPL3L, RPS27, RPS29, RPL24, RPL27, RPL26, UBA52, RPS21	2948	94	16792	2.181471751493981	0.02483664482492043	0.006287555958056427	0.006277819550000249
GOTERM_BP_DIRECT	GO:0019083~viral transcription	40	0.9957679860592481	8.291333000413576E-6	NUP188, RPLP1, RPL12, RPLP0, RPL11, RPL8, RPL9, NUP160, RPS15, RPS4X, RPS14, POM121C, RPL18A, NUP85, RPL36, RPL14, RPL35, RPLP2, RPL13, NUP43, RPS2, RPL18, RPS11, RPL39, RPS13, NUP214, RPS9, RPL21, RPS8, RPL13A, RPL23A, RPL3L, RPS27, RPS29, RPL24, RPL27, NUP54, RPL26, UBA52, RPS21	2948	112	16792	2.034308974607482	0.04704674526461805	0.00963784547968074	0.009622921080279996
GOTERM_BP_DIRECT	GO:0006413~translational initiation	46	1.1451331839681353	1.0097811496517006E-5	EIF4A1, RPLP1, RPL12, RPLP0, RPL11, RPL8, RPL9, RPS15, RPS4X, RPS14, EIF1AD, LARP1, RPL18A, RPL36, RPL14, EIF4H, RPL35, RPLP2, RPL13, RPS2, RPL18, RPS11, RPL39, EIF4B, RPS13, RPS9, EIF2B2, RPL21, EIF1AX, RPS8, RPL13A, RPL23A, RPL3L, RPS27, RPS29, AGO2, EIF3G, RPL24, EIF3H, RPL27, EIF3E, RPL26, UBA52, RPS21, EIF3D, EIF4G3	2948	137	16792	1.9125474155433848	0.056999792901820445	0.009781413402959472	0.009766266685714696
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	41	1.0206621857107294	1.67089847495772E-5	SMG1, RPLP1, RPL12, RPLP0, RPL11, RPL8, SMG8, RPL9, SMG5, RPS15, RPS4X, RPS14, RPL18A, RPL36, RPL14, RPL35, RPLP2, RPL13, RPS2, RPL18, RPS11, RPL39, RPS13, UPF1, RPS9, RPL21, RPS8, RPL13A, RPL23A, UPF3A, RPL3L, RPS27, RPS29, RPL24, RPL27, ETF1, EIF3E, RPL26, UBA52, RPS21, DCP2	2948	119	16792	1.9625098343272178	0.09254693274174164	0.013873231337791813	0.0138517483573995
GOTERM_BP_DIRECT	GO:0006412~translation	70	1.7425939756036841	7.165182083843745E-5	HBS1L, SLC25A3, RPLP1, RPLP0, MRPL34, RPL8, RPL9, RPS4X, RPS15, MRPL41, MRPL42, RPS14, RPL18A, RPL36, SLC25A40, RPLP2, RPL35, RPS11, RPL39, RPS13, RPS9, RPL21, RPS8, PABPC4, DHPS, MRPS23, MRPS18B, RPL13A, MRPS6, MRPS5, MRPL52, SLC25A16, SLC25A15, SLC25A17, NHP2, RPL24, RPL27, RPL26, UBA52, SLC25A6, MRPS33, RPL12, RPL11, MRPL16, RPS27L, MRPL14, SNU13, MRPL15, MRPL11, MRPL20, UCP2, RPL14, RPL13, IGF2BP3, RPS2, RPL18, SLC25A22, SLC25A25, GCN1, MRPL28, RPL23A, RPL3L, SLC25A37, RPS27, NACA, RPS29, AGO2, RPS6KB2, RPS21, SLC25A35	2948	253	16792	1.5759863993006582	0.3406200154120873	0.050307341130729905	0.05022943919160799
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	63	1.568334578043316	7.790193912191485E-5	PDCD7, HNRNPU, WDR83, HNRNPR, PRPF19, ELAVL1, ELAVL2, UBL5, PNN, PTBP1, SART3, RAVER1, PCF11, SNRNP70, SNRPD1, SNRNP35, RBM5, SRRM2, BUD31, PRPF4B, ZCRB1, SRRM1, DDX39A, SYF2, HNRNPH1, SRSF2, SNRNP27, SRSF3, SRSF4, CACTIN, SLU7, SF1, U2AF1L5, SF3B2, SF3B3, DHX9, SRSF1, U2AF1, SNU13, DHX32, U2AF2, TRA2B, TRA2A, PCBP2, POLR2E, POLR2I, HNRNPA1, POLR2L, SF3A3, HSPA8, CPSF7, SF3A2, ALYREF, NONO, CDC5L, LSM2, HNRNPL, LSM7, HNRNPA2B1, HNRNPD, PRPF31, HNRNPC, SUGP1	2948	222	16792	1.6164509149583777	0.3641443499737469	0.050307341130729905	0.05022943919160799
GOTERM_BP_DIRECT	GO:1900034~regulation of cellular response to heat	28	0.6970375902414737	1.0228270838640523E-4	YWHAE, CAMK2B, HSP90AB1, NUP188, HIKESHI, NUP160, BAG5, DNAJB6, POM121C, BAG2, NUP85, BAG3, HSF1, MAPK1, EP300, NUP43, CAMK2G, MAPK3, NUP214, HSPA8, HSPA1L, PTGES3, SIRT1, DNAJC7, NUP54, FKBP4, HSPA1B, HSPA1A	2948	75	16792	2.1265309814563547	0.4481602070911783	0.05944671011417873	0.05935465567663095
GOTERM_BP_DIRECT	GO:0042177~negative regulation of protein catabolic process	16	0.3983071944236993	1.236346587013481E-4	PRKCG, SF3B3, AGAP2, IRAK3, PARK7, RELA, SIRT2, AZIN1, SNX3, MAD2L2, GRIN2A, FLNA, PIN1, MDM4, DEDD, BANP	2948	32	16792	2.8480325644504747	0.5125702296685755	0.06132364591107441	0.06122868500033806
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	58	1.4438635797859098	1.2661454764846747E-4	GSK3A, UBXN1, FAF1, ARRB2, CDC20, PSMD6, KAT5, PSMD4, CDC27, GTSE1, SKP1, RNF44, FBXW11, USP44, UBE2E1, UBE4B, RAD23A, KCTD5, SIRT1, SIRT2, DDB1, PSMA4, CDC34, PSMA1, DDIT3, PSME4, PSME1, TRIM13, PSME2, UBA52, CLOCK, RNF122, PSMD12, VCP, ANAPC16, FBXL22, ANAPC11, PCNP, RMND5B, PSMB6, PPP2CB, PSMB4, UBB, RNF216, PSMB3, BTBD2, PCBP2, SPOP, RNF24, CSNK1A1, SIAH1, BTBD6, PML, UBXN11, CDC16, STUB1, UBE2K, DZIP3	2948	203	16792	1.6274471796859857	0.5209404374796005	0.06132364591107441	0.06122868500033806
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	29	0.7219317898929549	2.178500945683967E-4	NAPA, ARF3, RAB1A, COPB2, COPA, TMED10, KDELR1, RAB1B, HTT, KIF11, KIF15, KLC2, KIF5A, KIF3C, RAB6A, COG7, COG4, GBF1, KIF22, ARFGAP3, ARFGAP2, TAPBP, RINT1, RER1, TMEM115, KIF4B, ZW10, COPG1, ARF5	2948	82	16792	2.014462057782043	0.71812249575961	0.0912557184783321	0.09111440714551981
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	67	1.6679113766492406	2.198176288191069E-4	ANKLE2, NUMA1, CEP164, KIF11, KIF15, BABAM1, CDC20, PTTG1, TUBB3, NUF2, ENSA, KNTC1, OIP5, KMT5A, PBRM1, PPP1R12A, USP44, HAUS4, HAUS6, KIF22, CCSAP, SIRT2, CDC25B, LATS2, ZW10, SRSF2, JTB, BIRC5, ARL8A, PAFAH1B1, BRSK2, DCTN2, ANAPC16, DCTN3, SNX33, PKMYT1, NSL1, AURKB, ANAPC11, SKA2, FZR1, RECQL5, ABL1, NUP43, MARK4, FAM83D, MISP, SAC3D1, CDK11A, PLK5, CSNK1A1, NEK6, PLK1, KLHL21, HMGA2, CDK11B, ZC3HC1, MAD2L2, TPX2, NEDD1, CENPF, WEE1, REEP3, CCNG1, PPP2R2D, CDC16, SPC24	2948	248	16792	1.5388563049853372	0.7213281896624582	0.0912557184783321	0.09111440714551981
GOTERM_BP_DIRECT	GO:0034599~cellular response to oxidative stress	24	0.597460791635549	3.3503108672123486E-4	VKORC1L1, TMEM161A, BRF2, PARP1, STAU1, PYCR1, ATP2A2, PYCR2, PRR5L, PARK7, FOXO1, SIRT2, TXN2, RAD52, NME1-NME2, PRDX3, SELENON, PRDX2, SELENOS, SESN2, ABL1, HSPA1B, NFE2L1, HSPA1A	2948	64	16792	2.1360244233378562	0.8573736399895244	0.1298133784015878	0.12961235974955507
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	89	2.215583768981827	9.142955793044258E-4	DAZAP1, CHRM1, MCM7, KDM1A, CITED2, CD81, TUSC2, NAB2, ILK, MKI67, FGF1, CKS1B, KIF15, GLI2, FPGS, CDC27, PIM1, ANXA7, TSPO, TRIM27, KLF10, APC2, SPHK2, IGFBP4, SERPINF1, MIF, AXIN2, GNL3, MORF4L1, AR, KAT2A, MELK, TFDP1, CKS2, FSCN1, ARHGEF1, PPARD, SLC29A2, KHDRBS1, LAMA5, PDXK, PCNA, DCTN2, SRC, PRKDC, BRAT1, MRM2, RASGRP4, AURKB, GNAI2, RAP1B, LARP1, DPH1, PRDX1, ERBB2, UBR5, BAK1, FAM83D, EPS15, FAM83A, TCF7L2, CD74, PTGES3, NRDC, PLK1, STAT3, PDAP1, RPL23A, CDK11B, CDK9, ISG20, SKI, TPX2, BOP1, CENPF, RPS27, NR6A1, NASP, ERCC2, CDC16, GNB1, TACC3, PTPN6, TACC1, MDM4, TACC2, MAP3K11, BCAR1, PICALM	2948	366	16792	1.385108733530559	0.995089191171174	0.33211786918233266	0.33160357791897394
GOTERM_BP_DIRECT	GO:0035329~hippo signaling	13	0.3236245954692557	0.0010641956558083488	YWHAE, TEAD4, WWC1, STK4, STK3, MOB1A, LATS2, DVL2, AMOTL2, FAT4, TEAD2, TJP2, TEAD3	2948	27	16792	2.7425498768782353	0.997946887961443	0.3638297147975367	0.36326631709740287
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	32	0.7966143888473985	0.0012212279348622335	PSMD12, SET, ELAVL1, PSMB6, PSMD6, EXOSC5, PSMB4, PSMD4, UBB, PCBP4, PSMB3, EXOSC3, EXOSC1, NUP214, HSPA8, DIS3, TNFSF13, SAMD4A, RC3H1, PUM1, CARHSP1, PSMA4, PSMA1, APEX1, PSME4, PSME1, HNRNPD, PSME2, UBA52, HSPA1B, DCP2, HSPA1A	2948	103	16792	1.769651302182819	0.9991766377455921	0.39432093096773896	0.39371031700030784
GOTERM_BP_DIRECT	GO:0000027~ribosomal large subunit assembly	11	0.27383619616629323	0.0014601056604348485	MRPL20, PPAN-P2RY11, RPL12, RPL11, PPAN, RPL24, RPL23A, NLE1, RPL3L, MDN1, MRPL11	2948	21	16792	2.98365316275764	0.999794966148221	0.4466386367603863	0.44594700776333823
GOTERM_BP_DIRECT	GO:0016032~viral process	74	1.8421707742096092	0.0015493136013081325	YWHAE, EIF4A1, CRTC2, NUP188, UBE3A, KAT5, ZC3H7B, RACK1, EP300, PAAF1, NUP214, DAXX, DDX11, KRT8, RAD23A, KCTD5, SIRT1, TNFRSF1A, DDB1, KAT2A, PSMA4, PACS1, FKBP8, NUP54, MFGE8, IL6ST, EPHA2, ANKRD17, RTN3, RALA, SF3B2, SET, SHC1, IL2RG, CENPA, NUP160, PSMB6, PSMB4, RBM15B, RNF216, POM121C, NUP85, PSMB3, UBN1, EIF4H, POLR2E, MAPK1, NUP43, HNRNPA1, RAB6A, WASF2, BRD4, MICB, MAPK3, GADD45GIP1, RANBP1, FDPS, CENPU, KDM4A, HSPA8, CBX5, GBF1, STAT3, CFLAR, COPS6, KRT18, ERCC3, ABI2, NACA, ERCC2, VIM, TAF5, EIF4G3, RCOR1	2948	299	16792	1.4097284934403689	0.9998780126670463	0.45023053254014334	0.4495333414195546
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	45	1.1202389843166543	0.0016828399965486721	PSMD12, GSK3A, NOTCH1, CHD8, STK4, LIMD1, FOXO1, STK3, LRP6, PSMB6, PSMD6, PSMB4, PSMD4, UBB, PSMB3, DVL1, DVL2, GPC3, DACT3, RGS20, APC2, TCF7L2, TLE2, IGFBP4, CSNK1A1, IGFBP2, WNT5A, KREMEN2, AXIN2, MCC, DKK2, MAD2L2, SFRP1, SFRP2, LATS2, PSMA4, SDHAF2, PSMA1, DDIT3, PSME4, RAPGEF1, PSME1, PSME2, UBA52, PFDN5	2948	163	16792	1.5725333177947407	0.9999439297367276	0.4640902380888857	0.46337158493286373
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	9	0.22404779686333084	0.0017741603599120876	ELOVL1, FADS2, SCD, ELOVL2, ELOVL3, DEGS1, ELOVL6, DECR2, FADS1	2948	15	16792	3.41763907734057	0.9999670519309592	0.4640902380888857	0.46337158493286373
GOTERM_BP_DIRECT	GO:0006405~RNA export from nucleus	20	0.49788399302962405	0.0018365580653896029	U2AF1L5, NUP214, RANBP1, CHTOP, NUP188, POLDIP3, ALYREF, SRSF1, U2AF1, SRRM1, DDX39A, POM121C, U2AF2, SARNP, ZC3H11A, SRSF2, SRSF3, SRSF4, HNRNPA1, SLU7	2948	55	16792	2.0712964105094365	0.9999770889051468	0.4640902380888857	0.46337158493286373
GOTERM_BP_DIRECT	GO:0007017~microtubule-based process	15	0.37341299477221807	0.0020183830354283424	DCTN2, DCTN3, TUBB4B, TUBB4A, DYNLL2, TUBA1C, TUBA1B, TUBB2B, TUBA1A, TUBB2A, TUBB3, EHHADH, GTSE1, MAP3K11, PAFAH1B1	2948	36	16792	2.373360470375396	0.9999920528471259	0.48878509174623025	0.4880281981079446
GOTERM_BP_DIRECT	GO:0070125~mitochondrial translational elongation	27	0.6721433905899925	0.0022665374059896463	MRPS33, MRPL38, MRPL16, MRPL39, MRPL14, MRPL15, MRPL34, MRPL11, MRPL41, MRPL20, MRPL42, MRPL40, CHCHD1, GADD45GIP1, PTCD3, TSFM, MRPS26, MRPS27, MRPS23, MRPS18B, MRPL28, MRPL48, MRPS6, MRPS5, MRPL52, MRPL53, DAP3	2948	85	16792	1.8093383350626546	0.999998127182692	0.526924616144473	0.5261086626783167
GOTERM_BP_DIRECT	GO:0070126~mitochondrial translational termination	27	0.6721433905899925	0.0027159969159833734	MRPS33, MRPL38, MRPL16, MRPL39, MRPL14, MRPL15, MRPL34, MRPL11, C12ORF65, MRPL41, MRPL20, MRPL42, MRPL40, CHCHD1, GADD45GIP1, PTCD3, MRPS26, MRPS27, MRPS23, MRPS18B, MRPL28, MRPL48, MRPS6, MRPS5, MRPL52, MRPL53, DAP3	2948	86	16792	1.7882995172130887	0.999999863487477	0.5995630288897164	0.5986345933666593
GOTERM_BP_DIRECT	GO:0030336~negative regulation of cell migration	29	0.7219317898929549	0.0028785243335515014	PTPRU, IFITM1, CLIC4, CITED2, SRF, ZMYND8, SERPINE1, PTPRJ, PTN, CX3CL1, ARHGAP4, CNN2, FLCN, ARHGDIA, DPYSL3, TP53INP1, SLIT2, ARPIN, TCAF1, MIIP, TPM1, MAGI2, RHOB, SFRP1, RAP2A, SFRP2, STK24, DPEP1, VCL	2948	95	16792	1.7387988288223952	0.999999947060102	0.5995630288897164	0.5986345933666593
