Enhancer	Target_gene
TE_9988	BPTF
TE_9988	LRRC37B
TE_9988	C17orf58
TE_9988	MIR635
TE_9988	RNF135
TE_9988	DPRXP4
TE_9982	NOL11
TE_9979	NOL11
TE_9979	C17orf58
TE_9979	PITPNC1
TE_9977	PSMD12
TE_9977	BPTF
TE_9977	PITPNC1
TE_9977	UBTF
TE_9977	MIR6782
TE_9977	ABI3
TE_9977	GNGT2
TE_9977	PHOSPHO1
TE_9975	PITPNC1
TE_9975	RHBDF2
TE_9975	PSMD12
TE_9975	HELZ
TE_9975	LOC101928021
TE_9975	ACTG1
TE_9975	FSCN2
TE_9975	NOL11
TE_9975	SLC25A11
TE_9975	ENO3
TE_9975	RNF167
TE_9975	PFN1
TE_9975	GP1BA
TE_9974	NOL11
TE_9974	PSMD12
TE_9950	RGS9
TE_9950	PLEKHM1P1
TE_9947	GNA13
TE_9947	DDX5
TE_9947	MIR3064
TE_9947	MIR5047
TE_9947	POLG2
TE_9947	CEP95
TE_9944	PLEKHM1
TE_9943	ARHGAP27
TE_9941	SMURF2
TE_9933	ICAM2
TE_9933	DDX5
TE_9933	MIR3064
TE_9933	MIR5047
TE_9933	POLG2
TE_9933	CEP95
TE_9907	MED13
TE_9879	RPS6KB1
TE_9879	TUBD1
TE_9861	MIR142
TE_9861	TSPOAP1-AS1
TE_9861	MIR4736
TE_9861	TSPOAP1
TE_986	MCOLN2
TE_986	AGRN
TE_986	HES4
TE_986	ISG15
TE_986	HS2ST1
TE_986	SELENOF
TE_9856	CCR7
TE_9856	VEZF1
TE_985	LRRC8C-DT
TE_985	LRRC8C
TE_984	TNFRSF8
TE_9815	NME1-NME2
TE_9815	NME1
TE_9814	PGS1
TE_9811	NME1-NME2
TE_9811	NME1
TE_9798	MRPL27
TE_9798	EME1
TE_9792	LUC7L3
TE_9792	ABI3
TE_9792	GNGT2
TE_9792	PHOSPHO1
TE_9780	ABI3
TE_9780	GNGT2
TE_9780	PHOSPHO1
TE_9780	NGFR
TE_9779	ABI3
TE_9779	GNGT2
TE_9779	PHOSPHO1
TE_9765	NSRP1
TE_9765	MIR3184
TE_9765	MIR423
TE_9764	ABI3
TE_9764	GNGT2
TE_9764	PHOSPHO1
TE_9764	DDX5
TE_9764	MIR3064
TE_9764	MIR5047
TE_9764	POLG2
TE_9764	CEP95
TE_9763	CBX1
TE_9763	SNX11
TE_9758	CBX1
TE_9758	SNX11
TE_9754	KPNB1
TE_9750	MRPL45
TE_9727	ABI3
TE_9727	GNGT2
TE_9727	PHOSPHO1
TE_9727	ARHGDIA
TE_9727	P4HB
TE_9727	LRRC37A
TE_9722	LRRC37A3
TE_9722	BPTF
TE_9722	PLEKHM1
TE_972	MCOLN2
TE_9719	HEXIM2
TE_9719	LOC105371795
TE_9715	KSR1
TE_9714	C1QL1
TE_9706	SLC25A39
TE_9706	RUNDC3A-AS1
TE_9706	RUNDC3A
TE_9704	ITGA2B
TE_9704	KPNB1
TE_9698	SLC25A39
TE_9698	RUNDC3A-AS1
TE_9698	RUNDC3A
TE_9698	FAM171A2
TE_9696	HROB
TE_9696	LOC105371789
TE_9696	HDAC5
TE_9666	COASY
TE_9666	HSD17B1
TE_9666	LOC108783654
TE_9666	NAGLU
TE_9666	MLX
TE_9666	KCNH4
TE_9666	GHDC
TE_9666	HCRT
TE_9666	TUBG1
TE_9666	RETREG3
TE_9666	CCR10
TE_9666	CNTNAP1
TE_9666	PLEKHH3
TE_9666	HELZ
TE_9666	LOC101928021
TE_9666	STAT5B
TE_9666	PSMD12
TE_9666	ATP6V0A1
TE_9666	PTGES3L
TE_9666	PTGES3L-AARSD1
TE_9666	RUNDC1
TE_9666	TUBG2
TE_9666	ABI3
TE_9666	GNGT2
TE_9666	PHOSPHO1
TE_9664	DNAJC7
TE_9664	NKIRAS2
TE_9651	CDK5R1
TE_9642	CCR7
TE_9639	CCR7
TE_9635	GJD3
TE_9631	GSDMB
TE_9631	ORMDL3
TE_9630	CCR7
TE_9630	LASP1
TE_9630	PSMD3
TE_9630	PPP1R1B
TE_9630	STARD3
TE_9630	CACNB1
TE_9630	RPL19
TE_9630	IKZF3
TE_9630	ZPBP2
TE_9629	IKZF3
TE_9629	SUZ12P1
TE_9629	ACTG1
TE_9629	FSCN2
TE_9622	CDK12
TE_9596	HNF1B
TE_9596	SEPTIN9
TE_9593	GOSR1
TE_9570	SLFN12L
TE_9562	UNC45B
TE_9562	NLE1
TE_9560	SLFN5
TE_9560	GRAP
TE_9541	PSMD11
TE_9540	ZNF207
TE_9540	MIR632
TE_9540	C17orf75
TE_9540	CDK5R1
TE_954	ASH1L-AS1
TE_954	ASH1L
TE_9517	LUC7L3
TE_9513	SCIMP
TE_9511	RNF135
TE_9511	DPRXP4
TE_9509	SUZ12
TE_9506	LOC107984974
TE_9497	TAOK1
TE_9497	MIR4523
TE_9489	CYTH1
TE_9489	BLMH
TE_9489	CORO6
TE_9489	TAOK1
TE_9489	MIR4523
TE_9489	TP53I13
TE_9489	ABHD15
TE_9489	MIR4733
TE_9489	NF1
TE_9488	RFFL
TE_9488	STAT5B
TE_9487	NSRP1
TE_9487	MIR3184
TE_9487	MIR423
TE_9484	NUFIP2
TE_9472	FLOT2
TE_9472	DHRS13
TE_9472	PROCA1
TE_9472	TLCD1
TE_9472	RAB34
TE_9472	SNORD42B
TE_9472	SNORD4A
TE_9472	SNORD42A
TE_9472	SNORD4B
TE_9472	RPL23A
